Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD9CM	-		C0010392	Crush syndrome		
ICD9CM	958.5	Traumatic anuria	C0040793	Traumatic anuria		SEARCH (T79.5)
ICD9CM	866	Injury to kidney	C0160420	Injury of kidney		SEARCH (S37.0)
ICD9CM	866.0	Injury to kidney without mention of open wound into cavity				DESC (866)
ICD9CM	866.00	Injury to kidney without mention of open wound into cavity, unspecified injury				DESC (866)
ICD9CM	866.01	Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule				DESC (866)
ICD9CM	866.02	Injury to kidney without mention of open wound into cavity, laceration				DESC (866)
ICD9CM	866.03	Injury to kidney without mention of open wound into cavity, complete disruption of kidney parenchyma				DESC (866)
ICD9CM	866.1	Injury to kidney with open wound into cavity				DESC (866)
ICD9CM	866.10	Injury to kidney with open wound into cavity, unspecified injury				DESC (866)
ICD9CM	866.11	Injury to kidney with open wound into cavity, hematoma without rupture of capsule				DESC (866)
ICD9CM	866.12	Injury to kidney with open wound into cavity, laceration				DESC (866)
ICD9CM	866.13	Injury to kidney with open wound into cavity, complete disruption of kidney parenchyma				DESC (866)
ICD9CM	-		C0476303	Extrarenal uremia		
ICD9CM	-		C2919930	Uremia due to inadequate renal perfusion		
ICD9CM	788.5	Oliguria and anuria	C0028962	Anuria and oliguria		SEARCH (R34)
ICD9CM	-		C0157461	Postpartum acute renal failure		
ICD9CM	-		C2909475	Hepatorenal syndrome following labor and delivery		
ICD9CM	-		C0495171	Renal failure following abortion and ectopic and molar pregnancy		
ICD9CM	-		C0495063	Other disorders of kidney and ureter, not elsewhere classified		
ICD9CM	586	Renal failure, unspecified	C0035078	Kidney Failure		SEARCH (N19)
ICD9CM	-		C0041948	Uremia		
ICD9CM	-		C2902950	Acute kidney failure and chronic kidney disease (N17-N19)		
ICD9CM	-		C0451754	Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions		
ICD9CM	-		C0034183	Pyelitis		
ICD9CM	590.80	Pyelonephritis, unspecified	C0034186	Pyelonephritis		SEARCH (N12)
ICD9CM	-		C0477743	Tubulo-interstitial nephritis, not specified as acute or chronic		
ICD9CM	-		C0027707	Nephritis, Interstitial		
ICD9CM	-		C0268731	Renal glomerular disease		
ICD9CM	-		C0268733	Acute nephritis		
ICD9CM	-		C0268731	Renal glomerular disease		
ICD9CM	-		C0497424	Glomerulonephritis/nephrosis		
ICD9CM	-		C1384924	glomerular; disease, acute		
ICD9CM	580	Acute glomerulonephritis	C0156221	Acute glomerulonephritis		SEARCH (N00)
ICD9CM	580.0	Acute glomerulonephritis with lesion of proliferative glomerulonephritis				DESC (580)
ICD9CM	580.4	Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis				DESC (580)
ICD9CM	580.8	Acute glomerulonephritis with other specified pathological lesion in kidney				DESC (580)
ICD9CM	580.81	Acute glomerulonephritis in diseases classified elsewhere				DESC (580)
ICD9CM	580.89	Acute glomerulonephritis with other specified pathological lesion in kidney				DESC (580)
ICD9CM	580.9	Acute glomerulonephritis with unspecified pathological lesion in kidney				DESC (580)
ICD9CM	572.4	Hepatorenal syndrome	C0019212	Hepatorenal Syndrome		SEARCH (K76.7)
ICD9CM	-		C2882081	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease		
ICD9CM	404	Hypertensive heart and chronic kidney disease	C1719469	Hypertensive heart and chronic kidney disease		BROADER (C2882081)
ICD9CM	404.0	Hypertensive heart and chronic kidney disease, malignant				DESC (404)
ICD9CM	404.00	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.01	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.02	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	404.03	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	404.1	Hypertensive heart and renal disease, benign				DESC (404)
ICD9CM	404.10	Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.11	Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.12	Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	404.13	Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	404.9	Hypertensive heart and renal disease, unspecified				DESC (404)
ICD9CM	404.90	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.91	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified				DESC (404)
ICD9CM	404.92	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	404.93	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease				DESC (404)
ICD9CM	403.91	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease	C0348860	Hypertensive renal disease with renal failure		ADD (Hypertensive renal disease with renal failure)
ICD9CM	403.11	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease	C0155598	Benign hypertensive renal disease with renal failure		NARROWER (C0348860)
ICD9CM	-		C3697607	Hypertensive renal disease with end stage renal failure		
ICD9CM	-		C3698109	End stage renal disease on dialysis due to hypertension		
ICD9CM	-		C1704380	Distal Renal Tubular Acidosis		
ICD9CM	-		C0001126	Renal tubular acidosis		
ICD9CM	-		C0268435	Renal Tubular Acidosis, Type II		
ICD9CM	-		C0403490	Albright's renal tubular acidosis		
ICD9CM	-		C0403494	type III renal tubular acidosis		
ICD9CM	-		C0403554	Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness		
ICD9CM	276.5	Volume depletion	C0546884	Hypovolemia		SEARCH (Hypovolemia)
ICD9CM	276.50	Volume depletion, unspecified				DESC (276.5)
ICD9CM	276.51	Dehydration				DESC (276.5)
ICD9CM	276.52	Hypovolemia				DESC (276.5)
ICD9CM	-		C0020683	Hypovolemic Shock		
ICD9CM	-		C0340870	Absolute hypovolemia		
ICD9CM	-		C0340871	Relative hypovolemia		
ICD9CM	-		C0150256	Hypovolemia management		
ICD9CM	-		C1269826	Assessment of hypovolemia risk factors		
ICD9CM	-		C4302831	Acute kidney injury due to hypovolemia		
ICD9CM	-		C0011175	Dehydration		
ICD9CM	283.11	Hemolytic-uremic syndrome	C0019061	Hemolytic-Uremic Syndrome		SEARCH (D59.3)
ICD9CM	584	Acute kidney failure	C0022660	Kidney Failure, Acute	Narrow	BROADER (C2902951)
ICD9CM	584.5	Acute kidney failure with lesion of tubular necrosis			Narrow	DESC (584)
ICD9CM	584.6	Acute kidney failure with lesion of renal cortical necrosis			Narrow	DESC (584)
ICD9CM	584.7	Acute kidney failure with lesion of renal medullary [papillary] necrosis			Narrow	DESC (584)
ICD9CM	584.8	Acute kidney failure with other specified pathological lesion in kidney			Narrow	DESC (584)
ICD9CM	584.9	Acute kidney failure, unspecified			Narrow	DESC (584)
