Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10/CM	G36.9	Acute disseminated demyelination, unspecified	C0477368	Acute disseminated demyelination, unspecified	Narrow	ADD (Acute disseminated demyelination, unspecified)
ICD10/CM	G36	Other acute disseminated demyelination	C0494468	Other acute disseminated demyelination	Narrow	BROADER (C0477368)
ICD10/CM	G37	Other demyelinating diseases of central nervous system	C0154692	Other central nervous system demyelinating diseases	Narrow	BROADER (C0477368)
ICD10/CM	G35-G37	Demyelinating diseases of the central nervous system (G35-G37)	C0011302	Demyelinating disease of central nervous system	Narrow	BROADER (C0477368)
ICD10/CM	G35-G37.9	Demyelinating diseases of the central nervous system	C0011302	Demyelinating disease of central nervous system	Narrow	BROADER (C0477368)
ICD10/CM	G37.9	Demyelinating disease of central nervous system, unspecified	C0011302	Demyelinating disease of central nervous system	Narrow	BROADER (C0477368)
ICD10/CM	G36.8	Other specified acute disseminated demyelination	C0477367	Other specified acute disseminated demyelination	Narrow	ADD (Other specified acute disseminated demyelination)
ICD10/CM	-		C0494468	Other acute disseminated demyelination	Narrow	
ICD10/CM	-		C0014038	Encephalitis	Possible	
ICD10/CM	-		C0014041	Encephalitis NEC	Possible	
ICD10/CM	-		C0014038	Encephalitis	Possible	
ICD10/CM	G35-G37	Demyelinating diseases of the central nervous system (G35-G37)	C0011302	Demyelinating disease of central nervous system	Possible	BROADER (C0014059)
ICD10/CM	G35-G37.9	Demyelinating diseases of the central nervous system	C0011302	Demyelinating disease of central nervous system	Possible	BROADER (C0014059)
ICD10/CM	G37.9	Demyelinating disease of central nervous system, unspecified	C0011302	Demyelinating disease of central nervous system	Possible	BROADER (C0014059)
ICD10/CM	G04	Encephalitis, myelitis and encephalomyelitis	C0014058	Encephalitis, myelitis and encephalomyelitis	Possible	BROADER (C0014059)
ICD10/CM	G04.9	Encephalitis, myelitis and encephalomyelitis, unspecified	C0014058	Encephalitis, myelitis and encephalomyelitis	Possible	BROADER (C0014059)
ICD10/CM	G05.1	Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere	C0477341	Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere	Possible	NARROWER (C0014058)
ICD10/CM	-		C1719346	Encephalitis and encephalomyelitis in viral diseases classified elsewhere	Possible	
ICD10/CM	-		C0014070	Encephalomyelitis	Possible	
ICD10/CM	-		C1719365	Other causes of encephalitis and encephalomyelitis	Possible	
ICD10/CM	-		C1719722	Infectious acute disseminated encephalomyelitis (ADEM)	Narrow	
ICD10/CM	G04.00	Acute disseminated encephalitis and encephalomyelitis, unspecified	C2875015	Acute disseminated encephalitis and encephalomyelitis, unspecified	Narrow	CASEDEF
