Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	T80.6	Other serum reactions	C0478483	Other serum reactions		SEARCH (T80.6)
ICD10	-		C0036830	Serum Sickness		
ICD10	I95	Hypotension	C0020649	Hypotension		SEARCH (I95)
ICD10	I95.0	Idiopathic hypotension				DESC (I95)
ICD10	I95.1	Orthostatic hypotension				DESC (I95)
ICD10	I95.2	Hypotension due to drugs				DESC (I95)
ICD10	I95.8	Other hypotension				DESC (I95)
ICD10	I95.9	Hypotension, unspecified				DESC (I95)
ICD10	R57.9	Shock, unspecified	C0036974	Shock		SEARCH (R57.9)
ICD10	L23	Allergic contact dermatitis	C0162820	Dermatitis, Allergic Contact		SEARCH (L23)
ICD10	L23.0	Allergic contact dermatitis due to metals				DESC (L23)
ICD10	L23.1	Allergic contact dermatitis due to adhesives				DESC (L23)
ICD10	L23.2	Allergic contact dermatitis due to cosmetics				DESC (L23)
ICD10	L23.3	Allergic contact dermatitis due to drugs in contact with skin				DESC (L23)
ICD10	L23.4	Allergic contact dermatitis due to dyes				DESC (L23)
ICD10	L23.5	Allergic contact dermatitis due to other chemical products				DESC (L23)
ICD10	L23.6	Allergic contact dermatitis due to food in contact with skin				DESC (L23)
ICD10	L23.7	Allergic contact dermatitis due to plants, except food				DESC (L23)
ICD10	L23.8	Allergic contact dermatitis due to other agents				DESC (L23)
ICD10	L23.9	Allergic contact dermatitis, unspecified cause				DESC (L23)
ICD10	L50	Urticaria	C0042109	Urticaria		SEARCH (L50)
ICD10	L50.0	Allergic urticaria				DESC (L50)
ICD10	L50.1	Idiopathic urticaria				DESC (L50)
ICD10	L50.2	Urticaria due to cold and heat				DESC (L50)
ICD10	L50.3	Dermatographic urticaria				DESC (L50)
ICD10	L50.4	Vibratory urticaria				DESC (L50)
ICD10	L50.5	Cholinergic urticaria				DESC (L50)
ICD10	L50.6	Contact urticaria				DESC (L50)
ICD10	L50.8	Other urticaria				DESC (L50)
ICD10	L50.9	Urticaria, unspecified				DESC (L50)
ICD10	T78.3	Angioneurotic oedema	C0002994	Angioedema		SEARCH (angioedema)
ICD10	-		C0157741	Idiopathic urticaria		
ICD10	-		C0920175	Allergic angioedema		
ICD10	-		C0413239	Drug-aggravated angioedema-urticaria		
ICD10	-		C0019243	Angioedemas, Hereditary		
ICD10	-		C0920175	Allergic angioedema		
ICD10	-		C1304200	Angioedema of lip		
ICD10	-		C0413239	Drug-aggravated angioedema-urticaria		
ICD10	-		C0473546	Vibratory angioedema		
ICD10	-		C0857036	Acute angio oedema		
ICD10	-		C1304177	Idiopathic angioedema		
ICD10	-		C1304198	Episodic angioedema with eosinophilia		
ICD10	-		C4324659	Respiratory angioedema		
ICD10	-		C0413237	Venom-induced angioedema-urticaria		
ICD10	-		C0413238	Food-induced angioedema-urticaria		
ICD10	-		C0413240	NSAID-induced angioedema-urticaria		
ICD10	-		C0413241	Aspirin-induced angioedema-urticaria		
ICD10	-		C0413243	Chemical-aggravated angioedema-urticaria		
ICD10	-		C0413244	Azo-dye-induced angioedema-urticaria		
ICD10	-		C0413245	Sodium benzoate-induced angioedema-urticaria		
ICD10	-		C0559193	Penicillin-induced angioedema-urticaria		
ICD10	-		C0743747	Face angioedema		
ICD10	-		C0857323	Angioedema of larynx		
ICD10	-		C0863128	Angioedema aggravated		
ICD10	-		C1268945	ACE inhibitor-aggravated angioedema		
ICD10	-		C1274756	Cutis laxa following urticaria-angioedema		
ICD10	-		C1304178	Idiopathic urticaria and/or angioedema		
ICD10	-		C1304182	Allergic angioedema due to ingested food		
ICD10	-		C1304183	Allergic angioedema due to bite and/or sting		
ICD10	-		C1304186	Allergic urticaria and/or angioedema		
ICD10	-		C0948050	Small bowel angioedema		
ICD10	-		C1304195	Autoimmune angioedema		
ICD10	-		C1304196	Autoimmune urticaria and/or angioedema		
ICD10	-		C1304201	Angioedema of tongue		
ICD10	-		C1304202	Cholinergic angioedema		
ICD10	-		C1304495	Angioedema due to angiotensin-converting-enzyme inhibitor		
ICD10	-		C1304531	Angioedema and/or urticaria		
ICD10	-		C1857728	Hereditary Angioedema Type III		
ICD10	-		C1862892	Hereditary Angioedema Type II		
ICD10	-		C1869027	Angioedema (SMQ)		
ICD10	-		C1960459	Hereditary angioedema with normal C1 esterase inhibitor activity		
ICD10	-		C2717906	Hereditary Angioedema Type I		
ICD10	-		C2931758	Acquired angioedema		
ICD10	-		C3266719	History of angioedema		
ICD10	-		C3805248	Hereditary angioedema breakthrough attack		
ICD10	-		C3839323	Acquired angioedema due to C1 inhibitor autoantibody		
ICD10	-		C3839758	Angioedema due to disorder of kinin metabolism		
ICD10	-		C3854637	Hereditary angioedema attack		
ICD10	-		C3887071	Family history of angioedema		
ICD10	-		C3888796	Intestinal angioedema		
ICD10	-		C4324658	Eye angioedema		
ICD10	-		C4511311	Physical angioedema		
