Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C0278152	Hemifacial Spasm	Possible	
ICD10	G51.3	Clonic hemifacial spasm	C3536936	Clonic hemifacial spasm	Possible	SEARCH (clonic hemifacial spasm)
ICD10	-		C4520440	Clonic hemifacial spasm of right facial muscle	Possible	
ICD10	-		C4520449	Clonic hemifacial spasm of left facial muscle	Possible	
ICD10	-		C4554210	Clonic hemifacial spasm, right	Possible	
ICD10	-		C4554211	Clonic hemifacial spasm, left	Possible	
ICD10	-		C4554212	Clonic hemifacial spasm, bilateral	Possible	
ICD10	-		C4554213	Clonic hemifacial spasm, unspecified	Possible	
ICD10	-		C0015469	Facial paralysis	Possible	
ICD10	G51.0	Bell's palsy	C0376175	Bell Palsy	Narrow	CASEDEF
ICD10	-		C3864046	Bells palsy of left side of face	Narrow	
ICD10	-		C0278151	facial muscle spasm	Possible	
ICD10	-		C0278152	Hemifacial Spasm	Possible	
ICD10	G51.4	Facial myokymia	C0270871	Facial Myokymia	Possible	NARROWER (C0376175)
ICD10	-		C1827738	Benign facial fasciculation	Possible	
ICD10	-		C1847627	Dyskinesia, Familial, with Facial Myokymia	Possible	
ICD10	-		C4543512	Myokymia of right facial muscle	Possible	
ICD10	-		C4543402	Myokymia of left facial muscle	Possible	
ICD10	-		C3864045	Bells palsy of right side of face	Narrow	
ICD10	-		C4543038	Disorder of right facial nerve	Possible	
ICD10	-		C2368058	Bell's palsy due to Lyme disease	Narrow	
ICD10	-		C1389575	spasm; Bell	Narrow	
ICD10	-		C1385273	Facial myoclonus	Possible	
ICD10	-		C4022719	Unilateral facial palsy	Possible	
ICD10	G52.9	Cranial nerve disorder, unspecified	C0010266	Cranial nerve diseases	Possible	BROADER (C0376175)
ICD10	-		C0427055	Facial Paresis	Possible	
ICD10	-		C0015469	Facial paralysis	Possible	
ICD10	G51	Facial nerve disorders	C0015464	Facial Nerve Diseases	Possible	BROADER (C0376175)
ICD10	G51.0	Bell's palsy			Possible	DESC (G51)
ICD10	G51.1	Geniculate ganglionitis			Possible	DESC (G51)
ICD10	G51.2	Melkersson's syndrome			Possible	DESC (G51)
ICD10	G51.8	Other disorders of facial nerve			Possible	DESC (G51)
ICD10	G51.9	Disorder of facial nerve, unspecified			Possible	DESC (G51)
ICD10	-		C0427055	Facial Paresis	Possible	
ICD10	-		C0427056	Lower facial weakness	Possible	
ICD10	-		C3266178	Peripheral facial palsy	Possible	
ICD10CM	-		C0278152	Hemifacial Spasm	Possible	
ICD10CM	G51.3	Clonic hemifacial spasm	C3536936	Clonic hemifacial spasm	Possible	SEARCH (clonic hemifacial spasm)
ICD10CM	G51.31	Clonic hemifacial spasm, right			Possible	DESC (G51.3)
ICD10CM	G51.32	Clonic hemifacial spasm, left			Possible	DESC (G51.3)
ICD10CM	G51.33	Clonic hemifacial spasm, bilateral			Possible	DESC (G51.3)
ICD10CM	G51.39	Clonic hemifacial spasm, unspecified			Possible	DESC (G51.3)
ICD10CM	-		C4520440	Clonic hemifacial spasm of right facial muscle	Possible	
ICD10CM	-		C4520449	Clonic hemifacial spasm of left facial muscle	Possible	
ICD10CM	-		C4554210	Clonic hemifacial spasm, right	Possible	
ICD10CM	-		C4554211	Clonic hemifacial spasm, left	Possible	
ICD10CM	-		C4554212	Clonic hemifacial spasm, bilateral	Possible	
ICD10CM	-		C4554213	Clonic hemifacial spasm, unspecified	Possible	
ICD10CM	G51.0	Facial palsy	C0015469	Facial paralysis	Possible	CASEDEF
ICD10CM	G51.0	Bell's palsy	C0376175	Bell Palsy	Narrow	CASEDEF
ICD10CM	-		C3864046	Bells palsy of left side of face	Narrow	
ICD10CM	-		C0278151	facial muscle spasm	Possible	
ICD10CM	-		C0278152	Hemifacial Spasm	Possible	
ICD10CM	G51.4	Facial myokymia	C0270871	Facial Myokymia	Possible	NARROWER (C0376175)
ICD10CM	-		C1827738	Benign facial fasciculation	Possible	
ICD10CM	-		C1847627	Dyskinesia, Familial, with Facial Myokymia	Possible	
ICD10CM	-		C4543512	Myokymia of right facial muscle	Possible	
ICD10CM	-		C4543402	Myokymia of left facial muscle	Possible	
ICD10CM	-		C3864045	Bells palsy of right side of face	Narrow	
ICD10CM	-		C4543038	Disorder of right facial nerve	Possible	
ICD10CM	-		C2368058	Bell's palsy due to Lyme disease	Narrow	
ICD10CM	-		C1389575	spasm; Bell	Narrow	
ICD10CM	-		C1385273	Facial myoclonus	Possible	
ICD10CM	-		C4022719	Unilateral facial palsy	Possible	
ICD10CM	G52.9	Cranial nerve disorder, unspecified	C0010266	Cranial nerve diseases	Possible	BROADER (C0376175)
ICD10CM	R29.810	Facial weakness	C0427055	Facial Paresis	Possible	BROADER (C0376175)
ICD10CM	-		C0015469	Facial paralysis	Possible	
ICD10CM	G51	Facial nerve disorders	C0015464	Facial Nerve Diseases	Possible	BROADER (C0376175)
ICD10CM	G51.1	Geniculate ganglionitis			Possible	DESC (G51)
ICD10CM	G51.2	Melkersson's syndrome			Possible	DESC (G51)
ICD10CM	G51.8	Other disorders of facial nerve			Possible	DESC (G51)
ICD10CM	G51.9	Disorder of facial nerve, unspecified			Possible	DESC (G51)
ICD10CM	-		C0427055	Facial Paresis	Possible	
ICD10CM	-		C0427056	Lower facial weakness	Possible	
ICD10CM	-		C3266178	Peripheral facial palsy	Possible	
ICD9CM	-		C0278152	Hemifacial Spasm	Possible	
ICD9CM	-		C3536936	Clonic hemifacial spasm	Possible	
ICD9CM	-		C4520440	Clonic hemifacial spasm of right facial muscle	Possible	
ICD9CM	-		C4520449	Clonic hemifacial spasm of left facial muscle	Possible	
ICD9CM	-		C4554210	Clonic hemifacial spasm, right	Possible	
ICD9CM	-		C4554211	Clonic hemifacial spasm, left	Possible	
ICD9CM	-		C4554212	Clonic hemifacial spasm, bilateral	Possible	
ICD9CM	-		C4554213	Clonic hemifacial spasm, unspecified	Possible	
ICD9CM	-		C0015469	Facial paralysis	Possible	
ICD9CM	351.0	Bell's palsy	C0376175	Bell Palsy	Narrow	CASEDEF
ICD9CM	-		C3864046	Bells palsy of left side of face	Narrow	
ICD9CM	-		C0278151	facial muscle spasm	Possible	
ICD9CM	-		C0278152	Hemifacial Spasm	Possible	
ICD9CM	-		C0270871	Facial Myokymia	Possible	
ICD9CM	-		C1827738	Benign facial fasciculation	Possible	
ICD9CM	-		C1847627	Dyskinesia, Familial, with Facial Myokymia	Possible	
ICD9CM	-		C4543512	Myokymia of right facial muscle	Possible	
ICD9CM	-		C4543402	Myokymia of left facial muscle	Possible	
ICD9CM	-		C3864045	Bells palsy of right side of face	Narrow	
ICD9CM	-		C4543038	Disorder of right facial nerve	Possible	
ICD9CM	-		C2368058	Bell's palsy due to Lyme disease	Narrow	
ICD9CM	-		C1389575	spasm; Bell	Narrow	
ICD9CM	-		C1385273	Facial myoclonus	Possible	
ICD9CM	-		C4022719	Unilateral facial palsy	Possible	
ICD9CM	352.9	Unspecified disorder of cranial nerves	C0010266	Cranial nerve diseases	Possible	BROADER (C0376175)
ICD9CM	438.83	Other late effects of cerebrovascular disease, facial weakness	C0427055	Facial Paresis	Possible	BROADER (C0376175)
ICD9CM	781.94	Facial weakness	C0427055	Facial Paresis	Possible	BROADER (C0376175)
ICD9CM	-		C0015469	Facial paralysis	Possible	
ICD9CM	351	Facial nerve disorders	C0015464	Facial Nerve Diseases	Possible	BROADER (C0376175)
ICD9CM	351.0	Bell's palsy			Possible	DESC (351)
ICD9CM	351.1	Geniculate ganglionitis			Possible	DESC (351)
ICD9CM	351.8	Other facial nerve disorders			Possible	DESC (351)
ICD9CM	351.9	Facial nerve disorder, unspecified			Possible	DESC (351)
ICD9CM	-		C0427055	Facial Paresis	Possible	
ICD9CM	-		C0427056	Lower facial weakness	Possible	
ICD9CM	-		C3266178	Peripheral facial palsy	Possible	
ICPC2EENG	-		C0278152	Hemifacial Spasm	Possible	
ICPC2EENG	-		C3536936	Clonic hemifacial spasm	Possible	
ICPC2EENG	-		C4520440	Clonic hemifacial spasm of right facial muscle	Possible	
ICPC2EENG	-		C4520449	Clonic hemifacial spasm of left facial muscle	Possible	
ICPC2EENG	-		C4554210	Clonic hemifacial spasm, right	Possible	
ICPC2EENG	-		C4554211	Clonic hemifacial spasm, left	Possible	
ICPC2EENG	-		C4554212	Clonic hemifacial spasm, bilateral	Possible	
ICPC2EENG	-		C4554213	Clonic hemifacial spasm, unspecified	Possible	
ICPC2EENG	-		C0015469	Facial paralysis	Possible	
ICPC2EENG	N91	Facial paralysis/bell's palsy	C0376175	Bell Palsy	Narrow	CASEDEF
ICPC2EENG	-		C3864046	Bells palsy of left side of face	Narrow	
ICPC2EENG	-		C0278151	facial muscle spasm	Possible	
ICPC2EENG	-		C0278152	Hemifacial Spasm	Possible	
ICPC2EENG	-		C0270871	Facial Myokymia	Possible	
ICPC2EENG	-		C1827738	Benign facial fasciculation	Possible	
ICPC2EENG	-		C1847627	Dyskinesia, Familial, with Facial Myokymia	Possible	
ICPC2EENG	-		C4543512	Myokymia of right facial muscle	Possible	
ICPC2EENG	-		C4543402	Myokymia of left facial muscle	Possible	
ICPC2EENG	-		C3864045	Bells palsy of right side of face	Narrow	
ICPC2EENG	-		C4543038	Disorder of right facial nerve	Possible	
