Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C5203670	COVID19 (disease)		
ICD10	B34.2	Coronavirus infection, unspecified	C0206750	Coronavirus Infections		BROADER (C5203670)
ICD10	-		C5433293	post-acute COVID-19 syndrome		
ICD10	-		C5400365	SARS-CoV-2 viremia		
ICD10	-		C5203672	SARS-CoV-2 vaccination		
ICD10	-		C5439599	Adverse reaction to COVID-19 vaccine		
ICD10	-		C5203671	Suspected COVID-19		
ICD10	-		C5203673	Antigen of SARS-CoV-2		
ICD10	-		C5203674	Antibody to SARS-CoV-2		
ICD10	-		C5203675	Exposure to SARS-CoV-2		
ICD10	-		C5203676	SARS-CoV-2		
ICD10	-		C5244027	Pneumonia caused by SARS-CoV-2		
ICD10	-		C5244030	Occupational exposure to SARS-CoV-2		
ICD10	-		C5244047	Asymptomatic SARS-CoV-2		
ICD10	-		C5244052	SARS-CoV-2 antibody test positive		
ICD10	-		C5244055	SARS-CoV-2 antibody test negative		
ICD10	-		C5387588	COVID-19 Vaccines		
ICD10	-		C5391534	multisystem inflammatory syndrome in children with COVID-19 infection		
ICD10	-		C5397007	SARS-CoV-2 not detected		
ICD10	-		C5397008	SARS-CoV-2 detected		
ICD10	-		C5397032	Conjunctivitis due to COVID-19		
ICD10	-		C5397033	Dyspnea caused by SARS-CoV-2		
ICD10	-		C5397034	Fever caused by SARS-CoV-2		
ICD10	-		C5397035	Infection of upper respiratory tract caused by SARS-CoV-2		
ICD10	-		C5397136	Measurement of SARS-CoV-2 antigen		
ICD10	-		C5397137	Measurement of Severe acute respiratory syndrome coronavirus 2 antibody (observable entity)		
ICD10	-		C5397138	At increased risk of exposure to SARS-CoV-2		
ICD10	-		C5397139	History of SARS-CoV-2		
ICD10	-		C5397140	Disease caused by severe acute respiratory syndrome coronavirus 2 absent		
ICD10	-		C5397141	Lymphocytopenia due to COVID-19		
ICD10	-		C5397142	Thrombocytopenia due to COVID-19		
ICD10	-		C5397143	Acute bronchitis caused by SARS-CoV-2		
ICD10	-		C5397144	Acute respiratory distress syndrome due to COVID-19		
ICD10	-		C5397145	Sepsis due to disease caused by COVID-19		
ICD10	-		C5397146	Infection of lower respiratory tract caused by SARS-CoV-2		
ICD10	-		C5397147	Rhabdomyolysis due to COVID-19		
ICD10	-		C5397148	Acute kidney injury due to COVID-19		
ICD10	-		C5397149	Acute hypoxemic respiratory failure due to COVID-19		
ICD10	-		C5397157	Otitis media due to COVID-19		
ICD10	-		C5397158	Myocarditis due to COVID-19		
ICD10	-		C5397159	Encephalopathy due to COVID-19		
ICD10	-		C5397160	Cardiomyopathy due to COVID-19		
ICD10	-		C5397185	Severe acute respiratory syndrome coronavirus 2 IgM		
ICD10	-		C5397186	Severe acute respiratory syndrome coronavirus 2 IgG		
ICD10	-		C5397190	Ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 (substance)		
ICD10	-		C5397205	Detection of SARS-CoV-2 antibody		
ICD10	-		C5397206	Detection of SARS-CoV-2 antigen		
ICD10	-		C5397208	Detection of ribonucleic acid of SARS-CoV-2		
ICD10	-		C5397209	Detection of ribonucleic acid of SARS-CoV-2 in nasopharyngeal swab		
ICD10	-		C5397210	Detection of ribonucleic acid of SARS-CoV-2 in oropharyngeal swab		
ICD10	-		C5397211	Detection of ribonucleic acid of SARS-CoV-2 in sputum		
ICD10	-		C5397212	Detection of ribonucleic acid of SARS-CoV-2 in bronchoalveolar lavage fluid		
ICD10	-		C5397213	Detection of ribonucleic acid of SARS-CoV-2 using polymerase chain reaction		
ICD10	-		C5397215	Detection of SARS-CoV-2		
ICD10	-		C5400365	SARS-CoV-2 viremia		
ICD10	-		C5416826	SARS-CoV-2 mRNA vaccine		
ICD10	-		C5431834	Post COVID-19 condition		
ICD10	-		C5431941	pneumonia due to coronavirus disease 2019		
ICD10	-		C5433293	post-acute COVID-19 syndrome		
ICD10	-		C5439524	Acute COVID-19		
ICD10	-		C5439525	Post-acute COVID-19		
