Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10CM	D65	Disseminated intravascular coagulation [defibrination syndrome]	C0012739	Disseminated Intravascular Coagulation	Narrow	CASEDEF
ICD10CM	-		C0311369	Fibrinolytic purpura	Narrow	
ICD10CM	O46.02	Antepartum hemorrhage w disseminated intravasc coagulation	C2909116	Antepartum hemorrhage with disseminated intravascular coagulation	Narrow	NARROWER (C0012739)
ICD10CM	O46.021	Antepartum hemorrhage with disseminated intravascular coagulation, first trimester			Narrow	DESC (O46.02)
ICD10CM	O46.022	Antepartum hemorrhage with disseminated intravascular coagulation, second trimester			Narrow	DESC (O46.02)
ICD10CM	O46.023	Antepartum hemorrhage with disseminated intravascular coagulation, third trimester			Narrow	DESC (O46.02)
ICD10CM	O46.029	Antepartum hemorrhage with disseminated intravascular coagulation, unspecified trimester			Narrow	DESC (O46.02)
ICD10CM	-		C3873539	Disseminated intravascular coagulation due to placental abruption	Narrow	
ICD10CM	-		C0269559	Failed attempted termination of pregnancy with defibrination syndrome	Narrow	
ICD10CM	-		C0269304	Defibrination syndrome following molar AND/OR ectopic pregnancy	Narrow	
ICD10CM	-		C0269350	Unspecified abortion with defibrination syndrome	Narrow	
ICD10CM	-		C3662206	Induced termination of pregnancy complicated by defibrination syndrome	Narrow	
ICD10CM	-		C0269401	Miscarriage with defibrination syndrome	Narrow	
ICD10CM	D69.2	Purpura NOS	C0034150	Purpura	Narrow	NARROWER (C0012739)
ICD10CM	P60	Disseminated intravascular coagulation of newborn	C0158992	Disseminated intravascular coagulation in newborn	Narrow	NARROWER (C0012739)
ICD10CM	-		C0085650	Purpura Fulminans	Narrow	
ICD9CM	286.6	Defibrination syndrome	C0012739	Disseminated Intravascular Coagulation	Narrow	CASEDEF
ICD9CM	-		C0311369	Fibrinolytic purpura	Narrow	
ICD9CM	-		C2909116	Antepartum hemorrhage with disseminated intravascular coagulation	Narrow	
ICD9CM	-		C3873539	Disseminated intravascular coagulation due to placental abruption	Narrow	
ICD9CM	-		C0269559	Failed attempted termination of pregnancy with defibrination syndrome	Narrow	
ICD9CM	-		C0269304	Defibrination syndrome following molar AND/OR ectopic pregnancy	Narrow	
ICD9CM	-		C0269350	Unspecified abortion with defibrination syndrome	Narrow	
