Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10/CM	-		C1719467	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease	Narrow	
ICD10/CM	-		C1719465	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	Narrow	
ICD10/CM	-		C1135333	Unspecified hypertensive heart disease with heart failure	Narrow	
ICD10/CM	-		C4509228	Heart failure with reduced ejection fraction and diastolic dysfunction	Narrow	
ICD10/CM	-		C4509227	Combined systolic and diastolic left ventricular heart failure	Narrow	
ICD10/CM	I09.81	Rheumatic heart failure	C0155582	Congestive rheumatic heart failure	Possible	ADD (Congestive rheumatic heart failure)
ICD10/CM	I11.0	Hypertensive heart disease with heart failure	C1400066	hypertensive heart disease; with heart failure	Narrow	NARROWER (C0264650)
ICD10/CM	I50.1	Left ventricular failure	C0023212	Left-Sided Heart Failure	Narrow	BROADER (C0034063)
ICD10/CM	I50	Heart failure	C0018801	Heart failure	Narrow	BROADER (C0264652)
ICD10/CM	I50.9	Heart failure, unspecified	C0018801	Heart failure	Narrow	BROADER (C0264652)
ICD10/CM	-		C2732748	Acute systolic heart failure	Narrow	
ICD10/CM	I50.23	Acute on chronic systolic (congestive) heart failure	C2733492	Acute on chronic systolic heart failure	Narrow	NARROWER (C1135191)
ICD10/CM	-		C2732951	Acute diastolic heart failure	Narrow	
ICD10/CM	I50.33	Acute on chronic diastolic (congestive) heart failure	C2732749	Acute on chronic diastolic heart failure	Narrow	NARROWER (C1135196)
ICD10/CM	I31.4	Cardiac tamponade	C0007177	Cardiac Tamponade	Narrow	CASEDEF
ICD10/CM	-		C0018801	Heart failure	Narrow	
ICD10/CM	-		C0023212	Left-Sided Heart Failure	Narrow	
ICD10/CM	-		C0013608	Edema, Cardiac	Possible	
ICD10/CM	-		C0269926	Cardiac failure after obstetrical surgery AND/OR other procedure including delivery	Possible	
ICD10/CM	-		C0023212	Left-Sided Heart Failure	Narrow	
ICD10/CM	I09.81	Rheumatic heart failure	C0155582	Congestive rheumatic heart failure	Narrow	NARROWER (C0018801)
ICD10/CM	I50.82	Biventricular heart failure	C0685095	Biventricular congestive heart failure	Narrow	NARROWER (C0018801)
ICD10/CM	I50.810	Right ventricular failure NOS	C2939447	Right ventricular failure	Narrow	NARROWER (C0018801)
ICD10/CM	I50.20	Unspecified systolic (congestive) heart failure	C1135191	Heart Failure, Systolic	Narrow	NARROWER (C0018801)
ICD10/CM	I50.30	Unspecified diastolic (congestive) heart failure	C1135196	Heart Failure, Diastolic	Narrow	NARROWER (C0018801)
ICD10/CM	R09.2	Cardiorespiratory failure	C1444565	Cardiorespiratory failure	Possible	NARROWER (C0018801)
ICD10/CM	I50.1	Cardiac asthma	C1956414	Cardiac asthma	Possible	NARROWER (C0018801)
ICD10/CM	P29.0	Neonatal cardiac failure	C0455993	Neonatal cardiac failure	Narrow	NARROWER (C0018801)
ICD10/CM	-		C0553982	Impaired left ventricular function	Narrow	
ICD10/CM	-		C0410933	Congenital cardiac failure	Narrow	
ICD10/CM	-		C0340515	Myocardial dysfunction	Narrow	
ICD10/CM	-		C1959583	Myocardial Failure	Narrow	
ICD10/CM	-		C1306063	Acute left ventricular failure	Narrow	
ICD10/CM	-		C0581377	Decompensated cardiac failure	Narrow	
ICD10/CM	-		C0340510	Heart failure as a complication of care	Narrow	
ICD10/CM	-		C0340511	Post cardiac operation functional disturbance	Possible	
ICD10/CM	-		C0581376	Compensated cardiac failure	Narrow	
ICD10/CM	-		C0264734	Atrial dilatation	Possible	
ICD10/CM	I50.4	Combined systolic and diastolic (congestive) hrt fail	C2882272	Combined systolic (congestive) and diastolic (congestive) heart failure	Narrow	NARROWER (C0018801)
ICD10/CM	-		C0264652	Hypertensive heart failure	Narrow	
ICD10/CM	I50.2	Systolic (congestive) heart failure	C2039715	Systolic (congestive) heart failure	Narrow	NARROWER (C0018801)
ICD10/CM	I50.3	Diastolic (congestive) heart failure	C2183328	Diastolic (congestive) heart failure	Narrow	NARROWER (C0018801)
ICD10/CM	-		C1444565	Cardiorespiratory failure	Possible	
ICD10/CM	-		C1956414	Cardiac asthma	Possible	
