Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C0242584	Autoimmune thrombocytopenia	narrow	
ICD10	-		C0272292	Acute idiopathic thrombocytopenic purpura	narrow	
ICD10	D69.3	Idiopathic thrombocytopenic purpura	C0398650	Immune thrombocytopenic purpura	narrow	BROADER (C0272292)
ICD10	-		C0398650	Immune thrombocytopenic purpura	narrow	
ICD10	D69.6	Thrombocytopenia, unspecified	C0040034	Thrombocytopenia		BROADER (C0398650)
ICD10	-		C0242584	Autoimmune thrombocytopenia	narrow	
ICD10	-		C0857305	Thrombocytopenic purpura	narrow	
ICD10	-		C0677060	essential thrombocytopenia		
ICD10	-		C0272126	Evans syndrome	narrow	
ICD10	-		C2584778	Thrombotic thrombocytopenic purpura, acquired	narrow	
ICD10	-		C0376362	Purpura Hemorrhagica	narrow	
ICD10	-		C0272292	acute idiopathic thrombocytopenic purpura	narrow	
ICD10	-		C0272293	Chronic idiopathic thrombocytopenic purpura	narrow	
ICD10	-		C3853779	Neonatal Alloimmune Thrombocytopenia	narrow	
ICD10	-		C0857305	Thrombocytopenic purpura	narrow	
ICD10	-		C1304406	Thrombocytopenic purpura due to platelet consumption	possible	
ICD10	-		C1534876	Thrombocytopenic purp.	narrow	
ICD10	-		C1571920	(Purpura/hemorrhagic condition) or (purpura) or (thrombocytopenic purpura)	narrow	
ICD10	-		C2584777	Autoimmune thrombotic thrombocytopenic purpura	narrow	
ICD10	-		C2584778	Thrombotic thrombocytopenic purpura, acquired	narrow	
ICD10CM	-		C0242584	Autoimmune thrombocytopenia	narrow	
ICD10CM	-		C0272292	Acute idiopathic thrombocytopenic purpura	narrow	
ICD10CM	D69.3	Immune thrombocytopenic purpura	C0398650	Immune thrombocytopenic purpura	narrow	BROADER (C0272292)
ICD10CM	-		C0398650	Immune thrombocytopenic purpura	narrow	
ICD10CM	D69.6	Thrombocytopenia, unspecified	C0040034	Thrombocytopenia		BROADER (C0398650)
ICD10CM	-		C0242584	Autoimmune thrombocytopenia	narrow	
