Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	I09.0	Rheumatic myocarditis	C0489959	Rheumatoid myocarditis		SEARCH (myocarditis)
ICD10	I40	Acute myocarditis	C0155686	Acute myocarditis		SEARCH (myocarditis)
ICD10	I40.0	Infective myocarditis				DESC (I40)
ICD10	I40.1	Isolated myocarditis				DESC (I40)
ICD10	I40.8	Other acute myocarditis				DESC (I40)
ICD10	I40.9	Acute myocarditis, unspecified				DESC (I40)
ICD10	I51.4	Myocarditis, unspecified	C0027059	Myocarditis		SEARCH (myocarditis)
ICD10	-		C0155692	Other acute myocarditis		
ICD10	-		C0155689	Isolated (Fiedler's) myocarditis		
ICD10	I01.2	Acute rheumatic myocarditis	C0155557	Acute rheumatic myocarditis		SEARCH (myocarditis)
ICD10	-		C0155687	Acute myocarditis in diseases classified elsewhere		
ICD10	-		C0155690	Septic myocarditis		
ICD10	-		C0276804	Toxoplasma myocarditis		
ICD10	-		C0340432	Sarcoid heart muscle disease		
ICD10	-		C0152961	Meningococcal myocarditis		
ICD10	-		C0153165	Syphilitic myocarditis		
ICD10	-		C0152952	Diphtheritic myocarditis		
ICD10	-		C0264856	Giant cell myocarditis		
ICD10	-		C0153106	Coxsackie myocarditis		
ICD10	-		C0155691	Toxic myocarditis		
ICD10	-		C0264752	Chronic rheumatic myocarditis		
ICD10	I42.3	Endomyocardial (eosinophilic) disease	C0264834	Primary eosinophilic endomyocardial restrictive cardiomyopathy		SEARCH (myocarditis)
ICD10	-		C0264852	Chronic interstitial myocarditis		
ICD10	-		C0276138	Viral myocarditis		
ICD10	-		C0276513	Subacute myocarditis with AIDS (acquired immunodeficiency syndrome)		
ICD10	I41.0	Myocarditis in bacterial diseases classified elsewhere	C0348611	Myocarditis in bacterial diseases classified elsewhere		SEARCH (myocarditis)
ICD10	I41.1	Myocarditis in viral diseases classified elsewhere	C0348612	Myocarditis in viral diseases classified elsewhere		SEARCH (myocarditis)
ICD10	I41.2	Myocarditis in other infectious and parasitic diseases classified elsewhere	C0348613	Myocarditis in other infectious and parasitic diseases classified elsewhere		SEARCH (myocarditis)
ICD10	I41.8	Myocarditis in other diseases classified elsewhere	C0348614	Myocarditis in other diseases classified elsewhere		SEARCH (myocarditis)
ICD10	-		C0398355	Acute myocarditis - meningococcal		
ICD10	-		C0729608	Myocarditis due to infectious agent		
ICD10	-		C0264797	Dilated cardiomyopathy due to viral myocarditis		
ICD10	-		C0264853	Fibroid myocarditis		
ICD10	-		C0264854	Senile myocarditis		
ICD10	-		C0264855	Isolated diffuse granulomatous myocarditis		
ICD10	-		C0276320	Mumps myocarditis		
ICD10	-		C0276350	Myocarditis due to influenza virus		
ICD10	-		C0276432	aseptic myocarditis of newborn		
ICD10	-		C0340405	Acute aseptic myocarditis of the newborn		
ICD10	-		C0340407	Acute myocarditis - influenzal		
ICD10	-		C0340409	Septic myocarditis - streptococcal		
ICD10	-		C0340410	Septic myocarditis - staphylococcal		
ICD10	-		C0340411	Septic myocarditis - pneumococcal		
ICD10	-		C0340412	Acute myocarditis - tuberculous		
ICD10	-		C0340413	Acute myocarditis - syphilitic		
ICD10	-		C0553979	Acute myocarditis - toxoplasmosis		
ICD10	-		C0579991	Acute myocarditis - coxsackie		
ICD10	-		C0579992	Acute myocarditis - diphtheritic		
ICD10	-		C2893394	Gonococcal myocarditis		
ICD10	-		C3661903	Myocarditis due to Influenza A virus subtype H1N1		
ICD10	-		C0027060	Interstitial myocarditis		
ICD10	-		C0151788	Eosinophilic myocarditis		
ICD10	-		C0264798	Dilated cardiomyopathy due to bacterial myocarditis		
ICD10	-		C0264799	Dilated cardiomyopathy due to fungal myocarditis		
ICD10	-		C0264800	Dilated cardiomyopathy due to protozoan myocarditis		
ICD10	-		C0264801	Dilated cardiomyopathy secondary to metazoal myocarditis		
ICD10	-		C0264851	Subacute interstitial myocarditis		
ICD10	-		C0264857	Myocarditis due to hypersensitivity state		
ICD10	-		C0264858	Myocarditis due to radiation		
ICD10	-		C0264859	Myocarditis due to chemical agent		
ICD10	-		C0264860	Myocarditis due to drug		
ICD10	-		C0264861	Myocarditis due to physical agent		
ICD10	-		C0276163	Adenoviral myocarditis		
ICD10	-		C0276309	Rubella myocarditis		
ICD10	-		C0276336	Measles myocarditis		
ICD10	-		C0276512	AIDS with acute myocarditis		
ICD10	-		C0276776	Protozoan myocarditis		
ICD10	-		C0340414	Q fever myocarditis		
ICD10	-		C0340415	Fungal myocarditis		
ICD10	-		C0340416	Parasitic myocarditis		
ICD10	I41	Myocarditis in diseases classified elsewhere	C0694498	Myocarditis in diseases classified elsewhere		SEARCH (myocarditis)
ICD10	-		C0865681	Chronic myocarditis		
ICD10	-		C1384588	Bacterial myocarditis		
ICD10	-		C1531771	Coxsackie myocarditis of newborn		
ICD10	-		C1690442	Acute myocarditis associated with another disorder		
ICD10	-		C1719813	Myocarditis with AIDS (acquired immunodeficiency syndrome)		
ICD10	-		C1960273	Lymphocytic myocarditis		
ICD10	-		C2585300	Family history of myocarditis		
ICD10	-		C3531948	Myocarditis due to Genus Rickettsia		
ICD10	-		C3531950	Myocarditis due to Genus Candida		
ICD10	-		C3531951	Myocarditis due to Genus Aspergillus		
ICD10	-		C3531952	Myocarditis due to echovirus		
ICD10	-		C3531953	Myocarditis due to Order Spirochaetales		
ICD10	-		C3532017	Myocarditis due to Genus Borrelia		
ICD10	-		C3532265	Fetal myocarditis		
ICD10	-		C3532347	Cardiovascular abnormality due to infective myocarditis		
ICD10	-		C3839467	Heart failure with reduced ejection fraction due to myocarditis		
ICD10	-		C4039176	Myocarditis due to scarlet fever		
ICD10	-		C4040593	Myocarditis due to Influenza A virus		
ICD10	-		C4076233	Myocarditis co-occurrent with human immunodeficiency virus infection		
ICD10	-		C5396716	Myocarditis due to childhood type dermatomyositis		
ICD10	-		C5397158	Myocarditis due to COVID-19		
ICD10	-		C5397305	Myocarditis due to Chaga disease		
ICD10	-		C5397337	Myocarditis due to autoimmune disease		
ICD10	-		C5437446	Myocarditis due to Kawasaki disease		
ICD10	-		C5547370	Dilated cardiomyopathy due to parasitic myocarditis		
ICD10	-		C0865640	myocarditis; acute or subacute		
ICD10	-		C0865641	Acute or subacute interstitial myocarditis		
ICD10	-		C0865642	Acute or subacute myocarditis, Fiedler's		
ICD10	-		C0865643	Acute or subacute myocarditis, giant cell		
ICD10	-		C0865644	Acute or subacute myocarditis, isolated		
ICD10	-		C0865645	Isolated diffuse myocarditis		
ICD10	-		C0865646	Isolated diffuse acute or subacute myocarditis		
ICD10	-		C0865647	Isolated granulomatous myocarditis		
ICD10	-		C0865648	Isolated granulomatous acute or subacute myocarditis		
ICD10	-		C0865649	Isolated diffuse granulomatous acute or subacute myocarditis		
ICD10	-		C0865650	Acute or subacute myocarditis, nonspecific granulomatous		
ICD10	-		C0865651	Acute or subacute myocarditis, pneumococcal		
ICD10	-		C0865652	Acute or subacute myocarditis, staphylococcal		
ICD10	-		C0865680	Myocarditis with mention of arteriosclerosis		
ICD10	-		C0865682	Chronic myocarditis with mention of arteriosclerosis		
