Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	G72.9	Myopathy, unspecified	C0026848	Myopathy	Narrow	CASEDEF
ICD10	M60-M63.9	Disorders of muscles	C0026848	Myopathy	Narrow	CASEDEF
ICD10	M60	Myositis			Narrow	DESC (M60-M63.9)
ICD10	M60.0	Infective myositis			Narrow	DESC (M60-M63.9)
ICD10	M60.1	Interstitial myositis			Narrow	DESC (M60-M63.9)
ICD10	M60.2	Foreign body granuloma of soft tissue, not elsewhere classified			Narrow	DESC (M60-M63.9)
ICD10	M60.8	Other myositis			Narrow	DESC (M60-M63.9)
ICD10	M60.9	Myositis, unspecified			Narrow	DESC (M60-M63.9)
ICD10	M61	Calcification and ossification of muscle			Narrow	DESC (M60-M63.9)
ICD10	M61.0	Myositis ossificans traumatica			Narrow	DESC (M60-M63.9)
ICD10	M61.1	Myositis ossificans progressiva			Narrow	DESC (M60-M63.9)
ICD10	M61.2	Paralytic calcification and ossification of muscle			Narrow	DESC (M60-M63.9)
ICD10	M61.3	Calcification and ossification of muscles associated with burns			Narrow	DESC (M60-M63.9)
ICD10	M61.4	Other calcification of muscle			Narrow	DESC (M60-M63.9)
ICD10	M61.5	Other ossification of muscle			Narrow	DESC (M60-M63.9)
ICD10	M61.9	Calcification and ossification of muscle, unspecified			Narrow	DESC (M60-M63.9)
ICD10	M62	Other disorders of muscle			Narrow	DESC (M60-M63.9)
ICD10	M62.0	Diastasis of muscle			Narrow	DESC (M60-M63.9)
ICD10	M62.1	Other rupture of muscle (nontraumatic)			Narrow	DESC (M60-M63.9)
ICD10	M62.2	Ischaemic infarction of muscle			Narrow	DESC (M60-M63.9)
ICD10	M62.3	Immobility syndrome (paraplegic)			Narrow	DESC (M60-M63.9)
ICD10	M62.4	Contracture of muscle			Narrow	DESC (M60-M63.9)
ICD10	M62.5	Muscle wasting and atrophy, not elsewhere classified			Narrow	DESC (M60-M63.9)
ICD10	M62.6	Muscle strain			Narrow	DESC (M60-M63.9)
ICD10	M62.8	Other specified disorders of muscle			Narrow	DESC (M60-M63.9)
ICD10	M62.9	Disorder of muscle, unspecified			Narrow	DESC (M60-M63.9)
ICD10	M63	Disorders of muscle in diseases classified elsewhere			Narrow	DESC (M60-M63.9)
ICD10	M63.0	Myositis in bacterial diseases classified elsewhere			Narrow	DESC (M60-M63.9)
ICD10	M63.1	Myositis in protozoal and parasitic infections classified elsewhere			Narrow	DESC (M60-M63.9)
ICD10	M63.2	Myositis in other infectious diseases classified elsewhere			Narrow	DESC (M60-M63.9)
ICD10	M63.3	Myositis in sarcoidosis			Narrow	DESC (M60-M63.9)
ICD10	M63.8	Other disorders of muscle in diseases classified elsewhere			Narrow	DESC (M60-M63.9)
ICD10	-		C0026893	Myalgia and myositis, unspecified	Narrow	
ICD10	R82.1	Myoglobinuria	C0027080	Myoglobinuria	Narrow	CASEDEF
ICD10	-		C0027121	Myositis	Narrow	
ICD10	-		C0029669	Other musculoskeletal symptoms referable to limbs	Possible	
ICD10	-		C0035410	Rhabdomyolysis	Narrow	
ICD10	M33.2	Polymyositis	C0085655	Polymyositis	Narrow	CASEDEF
ICD10	-		C0154769	Myotoxicity	Narrow	
ICD10	G72	Other myopathies	C0546839	Other myopathies	Possible	CASEDEF
ICD10	G72.0	Drug-induced myopathy			Possible	DESC (G72)
ICD10	G72.1	Alcoholic myopathy			Possible	DESC (G72)
ICD10	G72.2	Myopathy due to other toxic agents			Possible	DESC (G72)
ICD10	G72.3	Periodic paralysis			Possible	DESC (G72)
ICD10	G72.4	Inflammatory myopathy, not elsewhere classified			Possible	DESC (G72)
ICD10	G72.8	Other specified myopathies			Possible	DESC (G72)
ICD10	G72.9	Myopathy, unspecified			Possible	DESC (G72)
ICD10CM	G72.9	Myopathy, unspecified	C0026848	Myopathy	Narrow	CASEDEF
ICD10CM	M60-M63	Disorders of muscles (M60-M63)	C0026848	Myopathy	Narrow	CASEDEF
ICD10CM	M60	Myositis			Narrow	DESC (M60-M63)
ICD10CM	M60.0	Infective myositis			Narrow	DESC (M60-M63)
ICD10CM	M60.00	Infective myositis, unspecified site			Narrow	DESC (M60-M63)
ICD10CM	M60.000	Infective myositis, unspecified right arm			Narrow	DESC (M60-M63)
ICD10CM	M60.001	Infective myositis, unspecified left arm			Narrow	DESC (M60-M63)
ICD10CM	M60.002	Infective myositis, unspecified arm			Narrow	DESC (M60-M63)
ICD10CM	M60.003	Infective myositis, unspecified right leg			Narrow	DESC (M60-M63)
ICD10CM	M60.004	Infective myositis, unspecified left leg			Narrow	DESC (M60-M63)
ICD10CM	M60.005	Infective myositis, unspecified leg			Narrow	DESC (M60-M63)
ICD10CM	M60.009	Infective myositis, unspecified site			Narrow	DESC (M60-M63)
ICD10CM	M60.01	Infective myositis, shoulder			Narrow	DESC (M60-M63)
ICD10CM	M60.011	Infective myositis, right shoulder			Narrow	DESC (M60-M63)
ICD10CM	M60.012	Infective myositis, left shoulder			Narrow	DESC (M60-M63)
ICD10CM	M60.019	Infective myositis, unspecified shoulder			Narrow	DESC (M60-M63)
ICD10CM	M60.02	Infective myositis, upper arm			Narrow	DESC (M60-M63)
ICD10CM	M60.021	Infective myositis, right upper arm			Narrow	DESC (M60-M63)
ICD10CM	M60.022	Infective myositis, left upper arm			Narrow	DESC (M60-M63)
ICD10CM	M60.029	Infective myositis, unspecified upper arm			Narrow	DESC (M60-M63)
ICD10CM	M60.03	Infective myositis, forearm			Narrow	DESC (M60-M63)
ICD10CM	M60.031	Infective myositis, right forearm			Narrow	DESC (M60-M63)
ICD10CM	M60.032	Infective myositis, left forearm			Narrow	DESC (M60-M63)
ICD10CM	M60.039	Infective myositis, unspecified forearm			Narrow	DESC (M60-M63)
