Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C0235818	Bullous eruption	Possible	
ICD10	L51.2	Toxic epidermal necrolysis [Lyell]	C0014518	Toxic Epidermal Necrolysis	Narrow	CASEDEF
ICD10	-		C1274191	Toxic epidermal necrolysis due to drug	Narrow	
ICD10	-		C2349616	Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome	Narrow	
ICD10	-		C1274933	Drug-Induced Stevens Johnson Syndrome	Narrow	
ICD10	-		C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	Narrow	
ICD10	-		C0241128	Nikolsky sign	Possible	
ICD10	-		C0877055	Acute Generalized Exanthematous Pustulosis	Narrow	
ICD10	-		C3541994	Drug Hypersensitivity Syndrome	Narrow	
ICD10	-		C0011609	Drug Eruptions	Possible	
ICD10CM	-		C0235818	Bullous eruption	Possible	
ICD10CM	L51.2	Toxic epidermal necrolysis [Lyell]	C0014518	Toxic Epidermal Necrolysis	Narrow	CASEDEF
ICD10CM	-		C1274191	Toxic epidermal necrolysis due to drug	Narrow	
ICD10CM	L51.3	Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome	C2349616	Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome	Narrow	NARROWER (C0038325)
ICD10CM	-		C1274933	Drug-Induced Stevens Johnson Syndrome	Narrow	
ICD10CM	-		C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	Narrow	
ICD10CM	-		C0241128	Nikolsky sign	Possible	
ICD10CM	-		C0877055	Acute Generalized Exanthematous Pustulosis	Narrow	
ICD10CM	D72.12	Drug rash with eosinophilia and systemic symptoms syndrome	C3541994	Drug Hypersensitivity Syndrome	Narrow	CASEDEF
ICD10CM	-		C0011609	Drug Eruptions	Possible	
ICD9CM	-		C0235818	Bullous eruption	Possible	
ICD9CM	695.15	Toxic epidermal necrolysis	C0014518	Toxic Epidermal Necrolysis	Narrow	CASEDEF
ICD9CM	-		C1274191	Toxic epidermal necrolysis due to drug	Narrow	
ICD9CM	695.14	Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome	C2349616	Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome	Narrow	NARROWER (C0038325)
ICD9CM	-		C1274933	Drug-Induced Stevens Johnson Syndrome	Narrow	
ICD9CM	-		C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	Narrow	
ICD9CM	-		C0241128	Nikolsky sign	Possible	
ICD9CM	-		C0877055	Acute Generalized Exanthematous Pustulosis	Narrow	
ICD9CM	-		C3541994	Drug Hypersensitivity Syndrome	Narrow	
ICD9CM	-		C0011609	Drug Eruptions	Possible	
ICPC2P	-		C0235818	Bullous eruption	Possible	
ICPC2P	-		C0014518	Toxic Epidermal Necrolysis	Narrow	
ICPC2P	-		C1274191	Toxic epidermal necrolysis due to drug	Narrow	
ICPC2P	-		C2349616	Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome	Narrow	
ICPC2P	-		C1274933	Drug-Induced Stevens Johnson Syndrome	Narrow	
ICPC2P	-		C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	Narrow	
ICPC2P	-		C0241128	Nikolsky sign	Possible	
ICPC2P	-		C0877055	Acute Generalized Exanthematous Pustulosis	Narrow	
ICPC2P	-		C3541994	Drug Hypersensitivity Syndrome	Narrow	
ICPC2P	A85001	Dermatitis;drug induced	C0011609	Drug Eruptions	Possible	BROADER (C3541994)
SCTSPA	1052347005	erupción ampollar	C0235818	Bullous eruption	Possible	SEARCH (bullous)
SCTSPA	14912003	Vesiculobullous rash			Possible	DESC (1052347005)
SCTSPA	271759003	erupción bullosa	C0235818	Bullous eruption	Possible	SEARCH (bullous)
SCTSPA	1148891004	Bullous diffuse cutaneous mastocytosis			Possible	DESC (271759003)
SCTSPA	238612002	Generalized pustular psoriasis			Possible	DESC (271759003)
SCTSPA	238613007	Generalized pustular psoriasis of pregnancy			Possible	DESC (271759003)
SCTSPA	238615000	Juvenile pustular psoriasis			Possible	DESC (271759003)
SCTSPA	238616004	Infantile pustular psoriasis			Possible	DESC (271759003)
SCTSPA	254175006	Bullous eruption of hand			Possible	DESC (271759003)
SCTSPA	308213003	Bullous eruption of pharynx			Possible	DESC (271759003)
SCTSPA	402326008	Acute generalized pustular psoriasis de novo			Possible	DESC (271759003)
SCTSPA	59721007	Congenital syphilitic pemphigus			Possible	DESC (271759003)
SCTSPA	721542002	Acute blistering eruption of skin			Possible	DESC (271759003)
SCTSPA	784339002	Deficiency of interleukin 36 receptor antagonist			Possible	DESC (271759003)
SCTSPA	83125007	Bullous eruption of childhood			Possible	DESC (271759003)
SCTSPA	23067006	necrólisis epidérmica tóxica de Lyell, tipo subepidérmico	C0014518	Toxic Epidermal Necrolysis	Narrow	CASEDEF
SCTSPA	768962006	síndrome de Lyell	C0014518	Toxic Epidermal Necrolysis	Narrow	CASEDEF
SCTSPA	402359006	Toxic epidermal necrolysis due to graft-versus-host disease			Narrow	DESC (768962006)
SCTSPA	402744003	Toxic epidermal necrolysis due to drug			Narrow	DESC (768962006)
SCTSPA	768961004	Toxic epidermal necrolysis due to infection			Narrow	DESC (768962006)
SCTSPA	-		C1274191	Toxic epidermal necrolysis due to drug	Narrow	
SCTSPA	-		C2349616	Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome	Narrow	
SCTSPA	403609001	síndrome de Stevens-Johnson medicamentoso	C1274933	Drug-Induced Stevens Johnson Syndrome	Narrow	NARROWER (C0038325)
SCTSPA	768946000	síndrome de Stevens-Johnson, espectro de necrólisis epidérmica tóxica	C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	Narrow	BROADER (C0038325)
SCTSPA	124911000119100	Stevens Johnson syndrome AND toxic epidermal necrolysis overlap			Narrow	DESC (768946000)
SCTSPA	724833000	Stevens-Johnson and toxic epidermal necrolysis overlap syndrome caused by drug			Narrow	DESC (768946000)
SCTSPA	73442001	Stevens-Johnson syndrome			Narrow	DESC (768946000)
SCTSPA	441837004	signo de Nikolsky	C0241128	Nikolsky sign	Possible	CASEDEF
SCTSPA	702617007	pustulosis exantemática generalizada aguda	C0877055	Acute Generalized Exanthematous Pustulosis	Narrow	CASEDEF
SCTSPA	702809001	reacción medicamentosa con eosinofilia y síntomas sistémicos	C3541994	Drug Hypersensitivity Syndrome	Narrow	CASEDEF
SCTSPA	702810006	Allopurinol hypersensitivity syndrome			Narrow	DESC (702809001)
SCTSPA	702811005	Drug reaction with eosinophilia and systemic symptoms caused by strontium ranelate			Narrow	DESC (702809001)
SCTSPA	275447008	dermatitis medicamentosa	C0011609	Drug Eruptions	Possible	BROADER (C3541994)
SCTSPA	28926001	erupción causada por fármaco	C0011609	Drug Eruptions	Possible	BROADER (C3541994)
SCTSPA	109254000	Lichenoid drug eruption			Possible	DESC (28926001)
SCTSPA	238814003	Maculopapular drug eruption			Possible	DESC (28926001)
