Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD9CM	-		C5442633	Acute aseptic arthritis	Narrow	
ICD9CM	696.0	Psoriatic arthropathy	C0003872	Arthritis, Psoriatic	Narrow	SEARCH (psoriatic arthritis)
ICD9CM	-		C0409682	Psoriatic arthritis with distal interphalangeal joint involvement	Narrow	
ICD9CM	-		C0343176	Psoriatic arthritis with spine involvement	Narrow	
ICD9CM	-		C0409673	Juvenile psoriatic arthritis with psoriasis	Narrow	
ICD9CM	-		C0702102	Arthritis mutilans	Narrow	
ICD9CM	-		C2888178	Psoriatic arthritis mutilans	Narrow	
ICD9CM	-		C0409674	Juvenile psoriatic arthritis without psoriasis	Narrow	
ICD9CM	-		C1444609	Iritis with psoriatic arthritis	Narrow	
ICD9CM	-		C2315905	Family history of psoriasis with psoriatic arthritis	Narrow	
ICD9CM	-		C3714758	Juvenile psoriatic arthritis	Narrow	
ICD9CM	-		C5566264	Oligoarticular psoriatic arthritis	Narrow	
ICD9CM	-		C5567085	Polyarticular psoriatic arthritis	Narrow	
ICD9CM	-		C0853922	Psoriatic arthropathy aggravated	Narrow	
ICD9CM	-		C1735904	Progression of psoriatic arthritis	Narrow	
ICD9CM	-		C1739420	Recurrent psoriatic arthritis	Narrow	
ICD9CM	-		C3890176	Psoriatic Juvenile Idiopathic Arthritis	Narrow	
ICD9CM	-		C4480478	psoriatic arthritis mutilans of shoulder region	Narrow	
ICD9CM	-		C4480479	psoriatic arthritis mutilans of upper arm	Narrow	
ICD9CM	-		C4480480	psoriatic arthritis mutilans of forearm	Narrow	
ICD9CM	-		C4480481	psoriatic arthritis mutilans of hand	Narrow	
ICD9CM	-		C4480482	psoriatic arthritis mutilans of pelvic region and thigh	Narrow	
ICD9CM	-		C4480483	psoriatic arthritis mutilans of lower leg	Narrow	
ICD9CM	-		C4480484	psoriatic arthritis mutilans of ankle and foot	Narrow	
ICD9CM	-		C4480485	psoriatic arthritis mutilans of multiple sites	Narrow	
ICD9CM	-		C4480486	psoriatic arthritis mutilans of other site	Narrow	
ICD9CM	-		C3899281	Early Inflammatory Arthritis	Narrow	
ICD9CM	714.9	Unspecified inflammatory polyarthropathy	C0162323	Polyarthritis	Narrow	SEARCH (inflammatory arthritis)
ICD9CM	-		C1562028	Undifferentiated inflammatory arthritis	Narrow	
ICD9CM	-		C0409703	Secondary inflammatory arthritis	Narrow	
ICD9CM	-		C2317127	Suspected inflammatory arthritis	Possible	
ICD9CM	712	Crystal arthropathies	C0152087	Crystal arthropathy	Narrow	ADD (Crystal arthropathy)
ICD9CM	712.1	Chondrocalcinosis due to dicalcium phosphate crystals			Narrow	DESC (712)
