Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	R29.1	Meningismus	C0025287	Meningism		SEARCH (meningitis)
ICD10	A87	Viral meningitis	C0025297	Viral meningitis		SEARCH (meningitis)
ICD10	A87.0	Enteroviral meningitis				DESC (A87)
ICD10	A87.1	Adenoviral meningitis				DESC (A87)
ICD10	A87.2	Lymphocytic choriomeningitis				DESC (A87)
ICD10	A87.8	Other viral meningitis				DESC (A87)
ICD10	A87.9	Viral meningitis, unspecified				DESC (A87)
ICD10	-		C0024266	Lymphocytic Choriomeningitis		
ICD10	G03.9	Meningitis, unspecified	C0025289	Meningitis		SEARCH (meningitis)
ICD10	G00.9	Bacterial meningitis, unspecified	C0085437	Meningitis, Bacterial		SEARCH (meningitis)
ICD10	A17.0	Tuberculous meningitis	C0041318	Tuberculosis, Meningeal		SEARCH (meningitis)
ICD10	B01.0	Varicella meningitis	C0700503	Herpes zoster with meningitis		SEARCH (meningitis)
ICD10	B02.1	Zoster meningitis	C0700503	Herpes zoster with meningitis		SEARCH (meningitis)
ICD10	A39.0	Meningococcal meningitis	C0025294	Meningococcal meningitis		SEARCH (meningitis)
ICD10	-		C0154642	Meningitis due to other specified bacteria		
ICD10	G03.0	Nonpyogenic meningitis	C0154651	Non-pyogenic meningitis		SEARCH (meningitis)
ICD10	-		C0348172	Other viral meningitis		
ICD10	B26.1	Mumps meningitis	C0153092	Mumps meningitis		SEARCH (meningitis)
ICD10	B00.3	Herpesviral meningitis	C0153045	Herpes simplex meningitis		SEARCH (meningitis)
ICD10	-		C0154644	Meningitis due to other organisms		
ICD10	-		C0276430	Enterovirus meningitis		
ICD10	G00.0	Haemophilus meningitis	C0025292	Meningitis, Haemophilus		SEARCH (meningitis)
ICD10	G00.1	Pneumococcal meningitis	C0025295	Meningitis, Pneumococcal		SEARCH (meningitis)
ICD10	-		C0085436	Meningitis, Cryptococcal		
ICD10	-		C0152488	Salmonella meningitis		
ICD10	-		C0153166	Syphilitic aseptic meningitis		
ICD10	B37.5	Candidal meningitis	C0153256	Candidal meningitis		SEARCH (meningitis)
ICD10	-		C0153225	Gonococcal meningitis		
ICD10	B38.4	Coccidioidomycosis meningitis	C0153259	Coccidioidal meningitis		SEARCH (meningitis)
ICD10	G00.2	Streptococcal meningitis	C0154639	Streptococcal meningitis		SEARCH (meningitis)
ICD10	G00.3	Staphylococcal meningitis	C0154640	Staphylococcal meningitis		SEARCH (meningitis)
ICD10	G03.1	Chronic meningitis	C0154653	Chronic meningitis		SEARCH (meningitis)
ICD10	G03.2	Benign recurrent meningitis [Mollaret]	C0220979	Benign multirecurrent endothelioleukocytal meningitis		SEARCH (meningitis)
ICD10	-		C0276160	Adenoviral meningitis (disorder)		
ICD10	-		C0276600	HIV infection with aseptic meningitis		
ICD10	-		C0338388	Echovirus meningitis		
ICD10	-		C0393434	Meningitis due to Friedlander bacillus		
ICD10	-		C1704231	Metastatic Malignant Neoplasm to the Leptomeninges		
ICD10	-		C0025290	Aseptic Meningitis		
ICD10	-		C0153134	Congenital syphilitic meningitis		
ICD10	-		C0153232	Leptospiral meningitis		
ICD10	-		C0154648	Sarcoid meningitis		
ICD10	-		C0276431	Coxsackie meningitis		
ICD10	-		C0276674	Meningitis caused by Histoplasma duboisii		
ICD10	B05.1	Measles complicated by meningitis	C0348980	Measles complicated by meningitis		SEARCH (meningitis)
ICD10	G00.8	Other bacterial meningitis	C0477333	Other bacterial meningitis		SEARCH (meningitis)
ICD10	G03.8	Meningitis due to other specified causes	C0477337	Meningitis due to other specified causes		SEARCH (meningitis)
ICD10	A20.3	Plague meningitis	C0524687	Meningeal Plague		SEARCH (meningitis)
ICD10	-		C2900504	Meningitis caused by Rubella virus		
ICD10	-		C0025293	Meningitis, Listeria		
ICD10	-		C0029843	Other specified viral meningitis		
ICD10	G02.1	Meningitis in mycoses	C0085438	Meningitis, Fungal		SEARCH (meningitis)
ICD10	-		C0153263	Histoplasma capsulatum meningitis		
ICD10	-		C0153271	Histoplasma duboisii meningitis		
ICD10	-		C0153277	Meningitis histoplasma		
ICD10	-		C0154641	Meningitis in other bacterial diseases classified elsewhere		
ICD10	-		C0154652	Eosinophilic meningitis		
ICD10	-		C0338393	Actinomycotic meningitis		
ICD10	-		C0338395	Meningitis, Escherichia coli		
ICD10	-		C0338399	Secondary syphilitic meningitis		
ICD10	-		C0393437	Klebsiella meningitis		
ICD10	-		C0419706	Administration of Meningococcus vaccine		
ICD10	-		C0455509	H/O: meningitis		
ICD10	G02.0	Meningitis in viral diseases classified elsewhere	C0477334	Meningitis in viral diseases classified elsewhere		SEARCH (meningitis)
ICD10	G02.8	Meningitis in other specified infectious and parasitic diseases classified elsewhere	C0477336	Meningitis in other specified infectious and parasitic diseases classified elsewhere		SEARCH (meningitis)
ICD10	-		C0523282	Neisseria Meningitidis antibody assay		
ICD10	-		C0580979	Requires a meningitis vaccination		
ICD10	-		C1273097	Meningitis C immunization declined		
ICD10	-		C0007813	Cerebrospinal meningitis		
ICD10	-		C0275905	Tuberculosis of cerebral meninges		
ICD10	-		C0276028	Haemophilus influenzae meningitis		
ICD10	-		C0338390	Post measles meningitis		
ICD10	-		C0338392	Meningitis due to typhoid fever		
ICD10	-		C0338397	Pseudomonas meningitis		
ICD10	-		C0338398	Late congenital syphilitic meningitis		
ICD10	-		C0393429	Meningitis due to pertussis		
ICD10	-		C0393433	Meningitis due to bacillus pyocyaneus		
ICD10	-		C0393444	Chemical meningitis		
ICD10	-		C0577778	Aerobacter meningitis		
ICD10	-		C0589627	Morganella morganii meningitis		
ICD10	-		C1279229	Meningococcal meningitis with acute meningococcal septicemia		
ICD10	-		C1279230	Meningococcal meningitis with meningococcal septicemia		
ICD10	-		C2887054	Meningitis caused by Bacillus anthracis		
ICD10	-		C2887055	Aseptic leptospiral meningitis		
ICD10	-		C4305262	Administration of meningitis polysaccharide vaccine		
ICD10	-		C0220654	Meningeal Carcinomatosis		
ICD10	-		C0275839	Acute syphilitic meningitis		
ICD10	-		C0361275	Meningitis vaccine		
ICD10	-		C0339957	Meningococcal pneumonia		
ICD10	-		C0338396	Proteus meningitis		
ICD10	-		C0338394	Meningitis in Lyme disease		
ICD10	-		C0338387	Coxsackie B viral meningitis		
ICD10	-		C0338386	Coxsackie A viral meningitis		
ICD10	-		C0277508	Chronic benign lymphocytic meningitis		
ICD10	-		C0393436	Staphylococcus epidermidis meningitis		
ICD10	-		C0393435	Staphylococcus aureus meningitis		
ICD10	-		C0393439	Parasitic meningitis		
ICD10	-		C0393440	Granulomatous meningoencephalitis		
ICD10	-		C0393441	Chronic lymphocytic meningitis		
ICD10	-		C0393442	Non-infective meningitis		
ICD10	-		C0393980	Hydrocephalus due to and following meningitis		
ICD10	-		C0456107	Neonatal meningitis		
ICD10	A32.1	Listerial meningitis and meningoencephalitis	C0494045	Listerial meningitis and meningoencephalitis		SEARCH (meningitis)
