Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C5428641	partial acute transverse myelitis	Narrow	
ICD10	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10	-		C0026976	Myelitis, Transverse	Narrow	
ICD10	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10	G36.0	Neuromyelitis optica [Devic]	C0027873	Neuromyelitis Optica	Possible	NARROWER (C0026976)
ICD10	G37.3	Acute transverse myelitis in demyelinating disease of central nervous system	C0494470	Acute transverse myelitis in demyelinating disease of central nervous system	Narrow	BROADER (C0026976)
ICD10	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10	-		C0026976	Myelitis, Transverse	Narrow	
ICD10	-		C0027873	Neuromyelitis Optica	Possible	
ICD10	-		C1395170	optic; neuritis, with demyelination	Possible	
ICD10	-		C0221059	Subacute myelo-optic neuropathy	Possible	
ICD10	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10	-		C0338431	Varicella transverse myelitis	Narrow	
ICD10	-		C1719404	Idiopathic transverse myelitis	Narrow	
ICD10	-		C0393487	Acute viral transverse myelitis	Narrow	
ICD10	-		C0751343	Myelitis, Postinfectious	Possible	
ICD10	-		C0751345	Myelitis, Subacute Transverse	Narrow	
ICD10	-		C0751346	Demyelinative Myelitis	Possible	
ICD10	-		C0746706	Myelitis, Necrotizing	Possible	
ICD10	-		C0751344	Myelitis, Postvaccinal	Possible	
ICD10	-		C0751342	Myelitis, Paraneoplastic	Possible	
ICD10	-		C0026975	Myelitis	Possible	
ICD10	-		C0338431	Varicella transverse myelitis	Narrow	
ICD10	-		C0393487	Acute viral transverse myelitis	Narrow	
ICD10	-		C0338431	Varicella transverse myelitis	Narrow	
ICD10	-		C1719404	Idiopathic transverse myelitis	Narrow	
ICD10	-		C0494470	Acute transverse myelitis in demyelinating disease of central nervous system	Narrow	
ICD10	-		C1404453	transverse; myelopathy	Narrow	
ICD10	-		C0026976	Myelitis, Transverse	Narrow	
ICD10	-		C0393668	Acute non-infective transverse myelitis	Narrow	
ICD10	-		C1719403	acute transverse myelitis in conditions classified elsewhere	Narrow	
ICD10	-		C5428642	complete acute transverse myelitis	Narrow	
ICD10	-		C5428641	partial acute transverse myelitis	Narrow	
ICD10	-		C2215094	acute bacterial transverse myelitis	Narrow	
ICD10CM	-		C5428641	partial acute transverse myelitis	Narrow	
ICD10CM	G37.3	Acute transverse myelitis NOS	C0270627	Myelitis, Acute Transverse	Narrow	BROADER (C5428641)
ICD10CM	-		C0026976	Myelitis, Transverse	Narrow	
ICD10CM	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10CM	G36.0	Neuromyelitis optica [Devic]	C0027873	Neuromyelitis Optica	Possible	NARROWER (C0026976)
ICD10CM	-		C0494470	Acute transverse myelitis in demyelinating disease of central nervous system	Narrow	
ICD10CM	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10CM	-		C0026976	Myelitis, Transverse	Narrow	
ICD10CM	-		C0027873	Neuromyelitis Optica	Possible	
ICD10CM	-		C1395170	optic; neuritis, with demyelination	Possible	
ICD10CM	-		C0221059	Subacute myelo-optic neuropathy	Possible	
ICD10CM	-		C0270627	Myelitis, Acute Transverse	Narrow	
ICD10CM	-		C0338431	Varicella transverse myelitis	Narrow	
