Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	J45	Asthma	C0004096	Asthma		CASEDEF
ICD10	J45.0	Predominantly allergic asthma				DESC (J45)
ICD10	J45.1	Nonallergic asthma				DESC (J45)
ICD10	J45.8	Mixed asthma				DESC (J45)
ICD10	J45.9	Asthma, unspecified				DESC (J45)
ICD10	-		C0155883	Chronic obstructive asthma (with obstructive pulmonary disease)		
ICD10	-		C0810292	Other and unspecified asthma		
ICD10	-		C2887463	Unspecified asthma with (acute) exacerbation		
ICD10	-		C0004099	Asthma, Exercise-Induced		
ICD10	J46	Status asthmaticus	C0038218	Status Asthmaticus		NARROWER (C0004096)
ICD10	-		C0038218	Status Asthmaticus		
ICD10	-		C0155883	Chronic obstructive asthma (with obstructive pulmonary disease)		
ICD10	-		C0004099	Asthma, Exercise-Induced		
ICD10	-		C0810292	Other and unspecified asthma		
ICD10	-		C2887463	Unspecified asthma with (acute) exacerbation		
ICD10	-		C0038218	Status Asthmaticus		
ICD10	-		C0155877	Allergic asthma		
ICD10	-		C0155883	Chronic obstructive asthma (with obstructive pulmonary disease)		
ICD10	-		C0264413	Late onset asthma		
ICD10	-		C0340076	Asthmatic pulmonary eosinophilia		
ICD10	J60-J70.9	Lung diseases due to external agents	C0340139	Lung disease due to external agents		CASEDEF
ICD10	J60	Coalworker's pneumoconiosis				DESC (J60-J70.9)
ICD10	J61	Pneumoconiosis due to asbestos and other mineral fibres				DESC (J60-J70.9)
ICD10	J62	Pneumoconiosis due to dust containing silica				DESC (J60-J70.9)
ICD10	J62.0	Pneumoconiosis due to talc dust				DESC (J60-J70.9)
ICD10	J62.8	Pneumoconiosis due to other dust containing silica				DESC (J60-J70.9)
ICD10	J63	Pneumoconiosis due to other inorganic dusts				DESC (J60-J70.9)
ICD10	J63.0	Aluminosis (of lung)				DESC (J60-J70.9)
ICD10	J63.1	Bauxite fibrosis (of lung)				DESC (J60-J70.9)
ICD10	J63.2	Berylliosis				DESC (J60-J70.9)
ICD10	J63.3	Graphite fibrosis (of lung)				DESC (J60-J70.9)
ICD10	J63.4	Siderosis				DESC (J60-J70.9)
ICD10	J63.5	Stannosis				DESC (J60-J70.9)
ICD10	J63.8	Pneumoconiosis due to other specified inorganic dusts				DESC (J60-J70.9)
ICD10	J64	Unspecified pneumoconiosis				DESC (J60-J70.9)
ICD10	J65	Pneumoconiosis associated with tuberculosis				DESC (J60-J70.9)
ICD10	J66	Airway disease due to specific organic dust				DESC (J60-J70.9)
ICD10	J66.0	Byssinosis				DESC (J60-J70.9)
ICD10	J66.1	Flax-dresser's disease				DESC (J60-J70.9)
ICD10	J66.2	Cannabinosis				DESC (J60-J70.9)
ICD10	J66.8	Airway disease due to other specific organic dusts				DESC (J60-J70.9)
ICD10	J67	Hypersensitivity pneumonitis due to organic dust				DESC (J60-J70.9)
ICD10	J67.0	Farmer's lung				DESC (J60-J70.9)
ICD10	J67.1	Bagassosis				DESC (J60-J70.9)
ICD10	J67.2	Bird fancier's lung				DESC (J60-J70.9)
ICD10	J67.3	Suberosis				DESC (J60-J70.9)
ICD10	J67.4	Maltworker's lung				DESC (J60-J70.9)
ICD10	J67.5	Mushroom-worker's lung				DESC (J60-J70.9)
ICD10	J67.6	Maple-bark-stripper's lung				DESC (J60-J70.9)
ICD10	J67.7	Air-conditioner and humidifier lung				DESC (J60-J70.9)
ICD10	J67.8	Hypersensitivity pneumonitis due to other organic dusts				DESC (J60-J70.9)
ICD10	J67.9	Hypersensitivity pneumonitis due to unspecified organic dust				DESC (J60-J70.9)
ICD10	J68	Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.0	Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.1	Acute pulmonary oedema due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.2	Upper respiratory inflammation due to chemicals, gases, fumes and vapours, not elsewhere classified				DESC (J60-J70.9)
ICD10	J68.3	Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.4	Chronic respiratory conditions due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.8	Other respiratory conditions due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J68.9	Unspecified respiratory condition due to chemicals, gases, fumes and vapours				DESC (J60-J70.9)
ICD10	J69	Pneumonitis due to solids and liquids				DESC (J60-J70.9)
ICD10	J69.0	Pneumonitis due to food and vomit				DESC (J60-J70.9)
ICD10	J69.1	Pneumonitis due to oils and essences				DESC (J60-J70.9)
ICD10	J69.8	Pneumonitis due to other solids and liquids				DESC (J60-J70.9)
ICD10	J70	Respiratory conditions due to other external agents				DESC (J60-J70.9)
ICD10	J70.0	Acute pulmonary manifestations due to radiation				DESC (J60-J70.9)
ICD10	J70.1	Chronic and other pulmonary manifestations due to radiation				DESC (J60-J70.9)
ICD10	J70.2	Acute drug-induced interstitial lung disorders				DESC (J60-J70.9)
ICD10	J70.3	Chronic drug-induced interstitial lung disorders				DESC (J60-J70.9)
