Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C0013922	Embolism		
ICD10	-		C0014234	Endophlebitis		
ICD10	-		C0031129	Periphlebitis		
ICD10	-		C0031542	Phlebitis		
ICD10	-		C0040053	Thrombosis		
ICD10	-		C0042487	Venous Thrombosis		
ICD10	-		C0085307	Embolism and Thrombosis		
ICD10	-		C0149871	Deep Vein Thrombosis		
ICD10	I80.2	Phlebitis and thrombophlebitis of other deep vessels of lower extremities	C0155770	Phlebitis and thrombophlebitis of other deep vessels of lower extremities		CASEDEF
ICD10	I82	Other venous embolism and thrombosis	C0155774	Other venous embolism & thrombosis		CASEDEF
ICD10	I82.0	Budd-Chiari syndrome				DESC (I82)
ICD10	I82.1	Thrombophlebitis migrans				DESC (I82)
ICD10	I82.2	Embolism and thrombosis of vena cava				DESC (I82)
ICD10	I82.3	Embolism and thrombosis of renal vein				DESC (I82)
ICD10	I82.8	Embolism and thrombosis of other specified veins				DESC (I82)
ICD10	I82.9	Embolism and thrombosis of unspecified vein				DESC (I82)
ICD10	-		C0265051	Suppurative phlebitis		
ICD10	I80.0	Phlebitis and thrombophlebitis of superficial vessels of lower extremities	C0265057	Thrombophlebitis of superficial veins of lower extremity		CASEDEF
ICD10	I80.1	Phlebitis and thrombophlebitis of femoral vein	C0265066	Thrombophlebitis of the femoral vein		CASEDEF
ICD10	I80.8	Phlebitis and thrombophlebitis of other sites	C0340692	Phlebitis and thrombophlebitis of other sites		CASEDEF
ICD10	I80.3	Phlebitis and thrombophlebitis of lower extremities, unspecified	C0340712	Phlebitis and thrombophlebitis of lower extremities, unspecified		CASEDEF
ICD10	-		C0340726	Venous embolism		
ICD10	-		C0517555	Venous thrombosis after immobility		
ICD10	-		C0740721	Drug problem		
ICD10	I80	Phlebitis and thrombophlebitis	C1367972	Phlebitis and thrombophlebitis		CASEDEF
ICD10	I80.9	Phlebitis and thrombophlebitis of unspecified site				DESC (I80)
ICD10	-		C1407879	external; cause		
ICD10	-		C2712859	Acute venous embolism and thrombosis of deep vessels of lower extremity		
