Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C2887870	Diverticulitis of small intestine without perforation or abscess without bleeding	Narrow	
ICD10	-		C2887865	Diverticulitis of small intestine with perforation and abscess	Narrow	
ICD10	-		C0012813	Diverticulitis	Narrow	
ICD10	-		C0268847	Diverticulitis of bladder	Narrow	
ICD10	-		C0012814	Colonic Diverticulitis	Narrow	
ICD10	-		C0544793	Hemorrhagic diverticulitis	Narrow	
ICD10	-		C0349774	Diverticulitis of gastrointestinal tract	Narrow	
ICD10	-		C4039748	Abscess of jejunum co-occurrent and due to diverticulitis	Narrow	
ICD10	-		C0267497	Meckel's diverticulitis	Narrow	
ICD10	-		C0264293	Pharyngeal diverticulitis	Narrow	
ICD10	-		C0544794	Perforated diverticulitis	Narrow	
ICD10	-		C4038984	Perforation of small intestine due to diverticulitis	Narrow	
ICD10	-		C0544792	Obstructive diverticulitis	Narrow	
ICD10	-		C4041411	Abscess of sigmoid colon co-occurrent and due to diverticulitis	Narrow	
ICD10	-		C4750433	Abscess of cecum co-occurrent and due to diverticulitis	Narrow	
ICD10	-		C0156167	Diverticulitis of colon (without mention of haemorrhage)	Narrow	
ICD10	-		C0917875	Esophageal diverticulosis	Narrow	
ICD10	-		C0012814	Colonic Diverticulitis	Narrow	
ICD10	-		C0267497	Meckel's diverticulitis	Narrow	
ICD10	-		C0544792	Obstructive diverticulitis	Narrow	
ICD10	-		C1510475	Diverticulosis	Possible	
ICD10	K57	Diverticular disease of intestine	C4317009	Diverticular Diseases	Possible	NARROWER (C1510475)
ICD10	K57.0	Diverticular disease of small intestine with perforation and abscess			Possible	DESC (K57)
ICD10	K57.1	Diverticular disease of small intestine without perforation or abscess			Possible	DESC (K57)
ICD10	K57.2	Diverticular disease of large intestine with perforation and abscess			Possible	DESC (K57)
ICD10	K57.3	Diverticular disease of large intestine without perforation or abscess			Possible	DESC (K57)
ICD10	K57.4	Diverticular disease of both small and large intestine with perforation and abscess			Possible	DESC (K57)
ICD10	K57.5	Diverticular disease of both small and large intestine without perforation or abscess			Possible	DESC (K57)
ICD10	K57.8	Diverticular disease of intestine, part unspecified, with perforation and abscess			Possible	DESC (K57)
ICD10	K57.9	Diverticular disease of intestine, part unspecified, without perforation or abscess			Possible	DESC (K57)
ICD10	-		C0267498	Diverticulosis of small intestine	Possible	
ICD10	-		C0341354	Diverticular disease of large intestine	Possible	
ICD10	-		C0012819	Diverticular disease of colon	Possible	
ICD10	-		C0012817	Diverticulum	Possible	
ICD10	-		C0012811	Colon diverticulum anatomic structure	Possible	
ICD10	-		C3648489	diverticulosis of intestine, without perforation or abscess, with hemorrhage	Possible	
ICD10	-		C0837257	Diverticulosis of both small and large intestine without perforation or abscess, with hemorrhage	Possible	
ICD10CM	K57.12	Diverticulitis of small intestine without perforation or abscess without bleeding	C2887870	Diverticulitis of small intestine without perforation or abscess without bleeding	Narrow	ADD (Diverticulitis of small intestine without perforation or abscess without bleeding)
