Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	I67.2	Cerebral atherosclerosis	C0007775	Cerebral Atherosclerosis		CASEDEF
ICD10	I63	Cerebral infarction	C0007785	Cerebral Infarction		CASEDEF
ICD10	I63.0	Cerebral infarction due to thrombosis of precerebral arteries				DESC (I63)
ICD10	I63.1	Cerebral infarction due to embolism of precerebral arteries				DESC (I63)
ICD10	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries				DESC (I63)
ICD10	I63.3	Cerebral infarction due to thrombosis of cerebral arteries				DESC (I63)
ICD10	I63.4	Cerebral infarction due to embolism of cerebral arteries				DESC (I63)
ICD10	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries				DESC (I63)
ICD10	I63.6	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic				DESC (I63)
ICD10	I63.8	Other cerebral infarction				DESC (I63)
ICD10	I63.9	Cerebral infarction, unspecified				DESC (I63)
ICD10	G45.9	Transient cerebral ischaemic attack, unspecified	C0007787	Transient Ischemic Attack		CASEDEF
ICD10	I60-I69.9	Cerebrovascular diseases	C0007820	Cerebrovascular Disorders		CASEDEF
ICD10	I60	Subarachnoid haemorrhage				DESC (I60-I69.9)
ICD10	I60.0	Subarachnoid haemorrhage from carotid siphon and bifurcation				DESC (I60-I69.9)
ICD10	I60.1	Subarachnoid haemorrhage from middle cerebral artery				DESC (I60-I69.9)
ICD10	I60.2	Subarachnoid haemorrhage from anterior communicating artery				DESC (I60-I69.9)
ICD10	I60.3	Subarachnoid haemorrhage from posterior communicating artery				DESC (I60-I69.9)
ICD10	I60.4	Subarachnoid haemorrhage from basilar artery				DESC (I60-I69.9)
ICD10	I60.5	Subarachnoid haemorrhage from vertebral artery				DESC (I60-I69.9)
ICD10	I60.6	Subarachnoid haemorrhage from other intracranial arteries				DESC (I60-I69.9)
ICD10	I60.7	Subarachnoid haemorrhage from intracranial artery, unspecified				DESC (I60-I69.9)
ICD10	I60.8	Other subarachnoid haemorrhage				DESC (I60-I69.9)
ICD10	I60.9	Subarachnoid haemorrhage, unspecified				DESC (I60-I69.9)
ICD10	I61	Intracerebral haemorrhage				DESC (I60-I69.9)
ICD10	I61.0	Intracerebral haemorrhage in hemisphere, subcortical				DESC (I60-I69.9)
ICD10	I61.1	Intracerebral haemorrhage in hemisphere, cortical				DESC (I60-I69.9)
ICD10	I61.2	Intracerebral haemorrhage in hemisphere, unspecified				DESC (I60-I69.9)
ICD10	I61.3	Intracerebral haemorrhage in brain stem				DESC (I60-I69.9)
ICD10	I61.4	Intracerebral haemorrhage in cerebellum				DESC (I60-I69.9)
ICD10	I61.5	Intracerebral haemorrhage, intraventricular				DESC (I60-I69.9)
ICD10	I61.6	Intracerebral haemorrhage, multiple localized				DESC (I60-I69.9)
ICD10	I61.8	Other intracerebral haemorrhage				DESC (I60-I69.9)
ICD10	I61.9	Intracerebral haemorrhage, unspecified				DESC (I60-I69.9)
ICD10	I62	Other nontraumatic intracranial haemorrhage				DESC (I60-I69.9)
ICD10	I62.0	Subdural haemorrhage (acute) (nontraumatic)				DESC (I60-I69.9)
ICD10	I62.1	Nontraumatic extradural haemorrhage				DESC (I60-I69.9)
ICD10	I62.9	Intracranial haemorrhage (nontraumatic), unspecified				DESC (I60-I69.9)
ICD10	I64	Stroke, not specified as haemorrhage or infarction				DESC (I60-I69.9)
ICD10	I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction				DESC (I60-I69.9)
ICD10	I65.0	Occlusion and stenosis of vertebral artery				DESC (I60-I69.9)
ICD10	I65.1	Occlusion and stenosis of basilar artery				DESC (I60-I69.9)
ICD10	I65.2	Occlusion and stenosis of carotid artery				DESC (I60-I69.9)
ICD10	I65.3	Occlusion and stenosis of multiple and bilateral precerebral arteries				DESC (I60-I69.9)
ICD10	I65.8	Occlusion and stenosis of other precerebral artery				DESC (I60-I69.9)
ICD10	I65.9	Occlusion and stenosis of unspecified precerebral artery				DESC (I60-I69.9)
ICD10	I66	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction				DESC (I60-I69.9)
ICD10	I66.0	Occlusion and stenosis of middle cerebral artery				DESC (I60-I69.9)
ICD10	I66.1	Occlusion and stenosis of anterior cerebral artery				DESC (I60-I69.9)
ICD10	I66.2	Occlusion and stenosis of posterior cerebral artery				DESC (I60-I69.9)
ICD10	I66.3	Occlusion and stenosis of cerebellar arteries				DESC (I60-I69.9)
ICD10	I66.4	Occlusion and stenosis of multiple and bilateral cerebral arteries				DESC (I60-I69.9)
ICD10	I66.8	Occlusion and stenosis of other cerebral artery				DESC (I60-I69.9)
ICD10	I66.9	Occlusion and stenosis of unspecified cerebral artery				DESC (I60-I69.9)
ICD10	I67	Other cerebrovascular diseases				DESC (I60-I69.9)
ICD10	I67.0	Dissection of cerebral arteries, nonruptured				DESC (I60-I69.9)
ICD10	I67.1	Cerebral aneurysm, nonruptured				DESC (I60-I69.9)
ICD10	I67.3	Progressive vascular leukoencephalopathy				DESC (I60-I69.9)
ICD10	I67.4	Hypertensive encephalopathy				DESC (I60-I69.9)
ICD10	I67.5	Moyamoya disease				DESC (I60-I69.9)
ICD10	I67.6	Nonpyogenic thrombosis of intracranial venous system				DESC (I60-I69.9)
ICD10	I67.7	Cerebral arteritis, not elsewhere classified				DESC (I60-I69.9)
ICD10	I67.8	Other specified cerebrovascular diseases				DESC (I60-I69.9)
ICD10	I67.9	Cerebrovascular disease, unspecified				DESC (I60-I69.9)
ICD10	I68	Cerebrovascular disorders in diseases classified elsewhere				DESC (I60-I69.9)
ICD10	I68.0	Cerebral amyloid angiopathy				DESC (I60-I69.9)
ICD10	I68.1	Cerebral arteritis in infectious and parasitic diseases classified elsewhere				DESC (I60-I69.9)
ICD10	I68.2	Cerebral arteritis in other diseases classified elsewhere				DESC (I60-I69.9)
ICD10	I68.8	Other cerebrovascular disorders in diseases classified elsewhere				DESC (I60-I69.9)
ICD10	I69	Sequelae of cerebrovascular disease				DESC (I60-I69.9)
ICD10	I69.0	Sequelae of subarachnoid haemorrhage				DESC (I60-I69.9)
ICD10	I69.1	Sequelae of intracerebral haemorrhage				DESC (I60-I69.9)
ICD10	I69.2	Sequelae of other nontraumatic intracranial haemorrhage				DESC (I60-I69.9)
ICD10	I69.3	Sequelae of cerebral infarction				DESC (I60-I69.9)
ICD10	I69.4	Sequelae of stroke, not specified as haemorrhage or infarction				DESC (I60-I69.9)
ICD10	I69.8	Sequelae of other and unspecified cerebrovascular diseases				DESC (I60-I69.9)
ICD10	-		C0026654	Moyamoya Disease		
ICD10	-		C0038454	Cerebrovascular accident		
ICD10	-		C0038525	Subarachnoid Hemorrhage		
ICD10	-		C0085220	Cerebral Amyloid Angiopathy		
ICD10	-		C0151620	Hypertensive Encephalopathy		
ICD10	-		C0155724	Occlusion and stenosis of vertebral artery		
ICD10	-		C0155725	Occlusion and stenosis of multiple and bilateral precerebral arteries		
ICD10	-		C0155727	Occlusion and stenosis of unspecified precerebral artery		
ICD10	-		C0155730	Aneurysm cerebral (unruptured)		
ICD10	-		C0155731	Nonpyogenic thrombosis of intracranial venous sinus		
ICD10	-		C0265080	Non-traumatic subdural hemorrhage		
ICD10	-		C0265098	Basilar artery occlusion		
ICD10	-		C0348632	Subarachnoid hemorrhage from other intracranial arteries		
ICD10	-		C0348633	Other subarachnoid hemorrhage		
ICD10	-		C0348634	Other intracerebral hemorrhage		
ICD10	-		C0348635	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries		
ICD10	-		C0348636	Other cerebral infarction		
ICD10	-		C0348637	Occlusion and stenosis of other precerebral artery		
ICD10	-		C0348638	Occlusion and stenosis of other cerebral artery		
ICD10	-		C0348639	Other specified cerebrovascular diseases		
ICD10	-		C0348641	Cerebral arteritis in other diseases classified elsewhere		
ICD10	-		C0348642	Other cerebrovascular disorders in diseases classified elsewhere		
ICD10	-		C0348645	Subarachnoid hemorrhage from intracranial artery, unspecified		
ICD10	-		C0348646	Intracerebral hemorrhage in hemisphere, unspecified		
ICD10	-		C0348647	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries		
ICD10	-		C0348784	Subarachnoid hemorrhage from vertebral artery		
ICD10	-		C0348832	occlusion and stenosis of cerebral arteries, not resulting in infarction		
ICD10	-		C0348833	Occlusion and stenosis of middle cerebral artery		
ICD10	-		C0348834	Occlusion and stenosis of anterior cerebral artery		
ICD10	-		C0348835	Occlusion and stenosis of posterior cerebral artery		
ICD10	-		C0348836	Occlusion and stenosis of cerebellar arteries		
ICD10	-		C0348837	Occlusion and stenosis of multiple and bilateral cerebral arteries		
ICD10	-		C0348838	Dissection of cerebral arteries, nonruptured		
ICD10	-		C0349439	Subarachnoid hemorrhage from middle cerebral artery aneurysm		
ICD10	-		C0349441	Subarachnoid hemorrhage from anterior communicating artery aneurysm		
ICD10	-		C0349442	Subarachnoid hemorrhage from posterior communicating artery aneurysm		
ICD10	-		C0349443	Subarachnoid hemorrhage from basilar artery aneurysm		
ICD10	-		C0393949	Other cerebrovascular disease		
ICD10	-		C0451673	Cerebral infarction due to embolism of precerebral arteries		
ICD10	-		C0451674	Cerebral infarction due to thrombosis of cerebral arteries		
ICD10	-		C0451675	Cerebral infarction due to embolism of cerebral arteries		
ICD10	-		C0451676	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic		
ICD10	-		C0475526	Intracerebral hemorrhage, intraventricular		
ICD10	-		C0475527	Intracerebral hemorrhage, multiple localized		
ICD10	-		C0475529	Subarachnoid hemorrhage from carotid siphon and bifurcation		
ICD10	G45	Transient cerebral ischaemic attacks and related syndromes	C0494480	Transient cerebral ischemic attacks and related syndromes		CASEDEF
ICD10	G45.0	Vertebro-basilar artery syndrome				DESC (G45)
ICD10	G45.1	Carotid artery syndrome (hemispheric)				DESC (G45)
ICD10	G45.2	Multiple and bilateral precerebral artery syndromes				DESC (G45)
ICD10	G45.3	Amaurosis fugax				DESC (G45)
ICD10	G45.4	Transient global amnesia				DESC (G45)
ICD10	G45.8	Other transient cerebral ischaemic attacks and related syndromes				DESC (G45)
ICD10	-		C0494602	Intracerebral hemorrhage in hemisphere, subcortical		
ICD10	-		C0494603	Intracerebral hemorrhage in hemisphere, cortical		
ICD10	-		C0494604	Intracerebral hemorrhage in brain stem		
ICD10	-		C0494605	Intracerebral hemorrhage in cerebellum		
ICD10	-		C0494606	Other nontraumatic intracranial hemorrhage		
ICD10	-		C0494608	Intracranial hemorrhage (nontraumatic), unspecified		
