Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	-		C0007784	Cerebral hemisphere hemorrhage		
ICD10	-		C0265085	Cortical hemorrhage		
ICD10	-		C0472377	Basal Ganglia Hemorrhage		
ICD10	I61	Intracerebral haemorrhage	C2937358	Cerebral Hemorrhage		NARROWER (C0007784)
ICD10	I61.0	Intracerebral haemorrhage in hemisphere, subcortical				DESC (I61)
ICD10	I61.1	Intracerebral haemorrhage in hemisphere, cortical				DESC (I61)
ICD10	I61.2	Intracerebral haemorrhage in hemisphere, unspecified				DESC (I61)
ICD10	I61.3	Intracerebral haemorrhage in brain stem				DESC (I61)
ICD10	I61.4	Intracerebral haemorrhage in cerebellum				DESC (I61)
ICD10	I61.5	Intracerebral haemorrhage, intraventricular				DESC (I61)
ICD10	I61.6	Intracerebral haemorrhage, multiple localized				DESC (I61)
ICD10	I61.8	Other intracerebral haemorrhage				DESC (I61)
ICD10	I61.9	Intracerebral haemorrhage, unspecified				DESC (I61)
ICD10	-		C0265086	Internal capsule hemorrhage		
ICD10	-		C0472372	External capsule hemorrhage		
ICD10	-		C0472374	Lobar cerebral hemorrhage		
ICD10	-		C3839237	Deep hemispheric cerebral hemorrhage		
ICD10	-		C4543111	Spontaneous hemorrhage of cerebral hemisphere		
ICD10	-		C0265087	Subcortical hemorrhage		
ICD10	-		C0349440	Subarachnoid hemorrhage from posterior cerebral artery aneurysm		
ICD10	-		C0349436	Subarachnoid hemorrhage from anterior cerebral artery aneurysm		
ICD10	-		C0472373	Massive supratentorial cerebral hemorrhage		
ICD10	-		C3839237	Deep hemispheric cerebral hemorrhage		
ICD10	-		C4040138	Spontaneous cerebral hemorrhage with compression of brain		
ICD10	-		C4543110	Spontaneous hemorrhage of deep cerebral hemisphere		
ICD10	-		C4543111	Spontaneous hemorrhage of cerebral hemisphere		
ICD10	-		C5230186	Cerebral ischemic stroke due to subarachnoid hemorrhage		
ICD10	-		C2882294	Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery		
ICD10	-		C2882295	Nontraumatic subarachnoid hemorrhage from right middle cerebral artery		
ICD10	-		C2882296	Nontraumatic subarachnoid hemorrhage from left middle cerebral artery		
ICD10	-		C2882313	Subarachnoid hemorrhage (nontraumatic) from cerebral artery NOS		
ICD10	-		C2882318	Cerebral lobe hemorrhage (nontraumatic)		
ICD10	-		C2882293	Nontraumatic subarachnoid hemorrhage from middle cerebral artery		
ICD10	-		C4520254	Apraxia due to and following spontaneous intracerebral hemorrhage		
ICD10	-		C4543191	Dysarthria due to and following hemorrhagic cerebrovascular accident		
ICD10	-		C4543192	Cognitive deficit due to and following hemorrhagic cerebrovascular accident		
ICD10	-		C4543197	Dysphasia due to and following hemorrhagic cerebrovascular accident		
ICD10	-		C4543594	Speech and language deficit as sequela of hemorrhagic cerebrovascular accident		
ICD10	-		C5229721	Memory deficit due to and following hemorrhagic cerebrovascular accident		
ICD10	-		C0553692	Brain hemorrhage		
ICD10	-		C0265082	Hemorrhage of medulla oblongata		
