Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	G46.5	Pure motor lacunar syndrome	C0393957	Pure motor lacunar infarction		SEARCH (lacunar syndrome)
ICD10	G46.6	Pure sensory lacunar syndrome	C0393958	Pure sensory lacunar infarction		SEARCH (lacunar syndrome)
ICD10	G46.7	Other lacunar syndromes	C0477376	Other lacunar syndromes		SEARCH (lacunar syndrome)
ICD10	-		C0585229	Multiple lacunar infarcts		
ICD10	I63	Cerebral infarction	C0007785	Cerebral Infarction		SEARCH (cerebral infarction)
ICD10	I63.0	Cerebral infarction due to thrombosis of precerebral arteries				DESC (I63)
ICD10	I63.1	Cerebral infarction due to embolism of precerebral arteries				DESC (I63)
ICD10	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries				DESC (I63)
ICD10	I63.3	Cerebral infarction due to thrombosis of cerebral arteries				DESC (I63)
ICD10	I63.4	Cerebral infarction due to embolism of cerebral arteries				DESC (I63)
ICD10	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries				DESC (I63)
ICD10	I63.6	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic				DESC (I63)
ICD10	I63.8	Other cerebral infarction				DESC (I63)
ICD10	I63.9	Cerebral infarction, unspecified				DESC (I63)
ICD10	F01.1	Multi-infarct dementia	C0011263	Multi-infarct dementia		NARROWER (C0007785)
ICD10	-		C0342405	Pituitary infarction		
ICD10	-		C0338530	Infarction of visual cortex		
ICD10	-		C0455714	Occipital cerebral infarction		
ICD10	-		C0393953	Anterior Cerebral Circulation Infarction		
ICD10	-		C2711270	Infarct of cerebrum due to iatrogenic cerebrovascular accident		
ICD10	-		C0338517	Infarction of optic chiasm		
ICD10	-		C4302087	Silent cerebral infarct		
ICD10	-		C0338521	Infarction of optic tract		
ICD10	-		C0338526	Infarction of optic radiation		
ICD10	-		C0348636	Other cerebral infarction		
ICD10	-		C0348647	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries		
ICD10	-		C0348635	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries		
ICD10	-		C0451673	Cerebral infarction due to embolism of precerebral arteries		
ICD10	-		C0451674	Cerebral infarction due to thrombosis of cerebral arteries		
ICD10	-		C0451675	Cerebral infarction due to embolism of cerebral arteries		
ICD10	-		C0451676	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic		
ICD10	I69.3	Sequelae of cerebral infarction	C0451677	Sequelae of cerebral infarction		SEARCH (cerebral infarction)
ICD10	-		C0494609	Cerebral infarct due to thrombosis of precerebral arteries		
ICD10	-		C0521542	Brain Stem Infarctions		
ICD10	-		C1299567	Neonatal stroke		
ICD10	-		C2349471	persistent migraine aura with cerebral infarction		
ICD10	-		C2882363	Cerebral infarction due to thrombosis of middle cerebral artery		
ICD10	-		C2882381	Cerebral infarction due to embolism of middle cerebral artery		
ICD10	-		C2882599	Other sequelae of cerebral infarction		
ICD10	-		C0236073	Cerebellar infarction		
ICD10	-		C0375274	Occlusion and stenosis of basilar artery with cerebral infarction		
ICD10	-		C0375276	Occlusion and stenosis of carotid artery with cerebral infarction		
ICD10	-		C0375278	Occlusion and stenosis of vertebral artery with cerebral infarction		
ICD10	-		C0375280	occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction		
ICD10	-		C0375282	Occlusion and stenosis of other specified precerebral artery with cerebral infarction		
ICD10	-		C0375284	Occlusion and stenosis of unspecified precerebral artery with cerebral infarction		
ICD10	-		C0375286	Cerebral thrombosis with cerebral infarction		
ICD10	-		C0375288	cerebral embolism with cerebral infarction		
ICD10	-		C0375291	Cerebral artery occlusion, unspecified with cerebral infarction		
ICD10	-		C0393953	Anterior Cerebral Circulation Infarction		
ICD10	-		C0393954	Total anterior cerebral circulation infarction		
ICD10	-		C0393955	Partial anterior cerebral circulation infarction		
ICD10	-		C0393956	Posterior cerebral circulation infarction		
ICD10	-		C0455714	Occipital cerebral infarction		
ICD10	-		C0472369	Hemorrhagic cerebral infarction		
ICD10	-		C0472370	Anterior cerebral circulation hemorrhagic infarction		
ICD10	-		C0472371	Posterior cerebral circulation hemorrhagic infarction		
ICD10	-		C0585629	Left sided cerebral infarction		
ICD10	-		C0585630	Right sided cerebral infarction		
ICD10	-		C1392253	Cerebral infarction due to stenosis of precerebral artery		
ICD10	-		C1446220	Infarction of basal ganglia		
ICD10	-		C1960659	Infarction of medulla oblongata		
ICD10	-		C2349462	Persistent migraine aura without cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus		
ICD10	-		C2349463	Persistent migraine aura without cerebral infarction, without mention of intractable migraine with status migrainosus		
ICD10	-		C2349468	Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, without mention of status migrainosus		
ICD10	-		C2349469	Persistent migraine aura with cerebral infarction, without mention of intractable migraine with status migrainosus		
ICD10	-		C2349470	Persistent migraine aura with cerebral infarction, with intractable migraine, so stated, with status migrainosus		
ICD10	-		C2584725	Family history of cerebral infarction		
ICD10	-		C2875167	Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus		
ICD10	-		C2875168	Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus		
ICD10	-		C2875169	Persistent migraine aura with cerebral infarction, intractable		
ICD10	-		C2875170	Persistent migraine aura with cerebral infarction, intractable, with status migrainosus		
ICD10	-		C2875171	Persistent migraine aura with cerebral infarction, intractable, without status migrainosus		
ICD10	-		C2882329	Cerebral infarction due to thrombosis of unspecified precerebral artery		
ICD10	-		C2882330	Cerebral infarction due to thrombosis of vertebral artery		
ICD10	-		C2882331	Cerebral infarction due to thrombosis of right vertebral artery		
ICD10	-		C2882332	Cerebral infarction due to thrombosis of left vertebral artery		
ICD10	-		C2882333	Cerebral infarction due to thrombosis of unspecified vertebral artery		
ICD10	-		C2882334	Cerebral infarction due to thrombosis of basilar artery		
ICD10	-		C2882335	Cerebral infarction due to thrombosis of carotid artery		
ICD10	-		C2882336	Cerebral infarction due to thrombosis of right carotid artery		
ICD10	-		C2882337	Cerebral infarction due to thrombosis of left carotid artery		
ICD10	-		C2882338	Cerebral infarction due to thrombosis of unspecified carotid artery		
ICD10	-		C2882339	Cerebral infarction due to thrombosis of other precerebral artery		
ICD10	-		C2882340	Cerebral infarction due to embolism of unspecified precerebral artery		
ICD10	-		C2882341	Cerebral infarction due to embolism of vertebral artery		
ICD10	-		C2882342	Cerebral infarction due to embolism of right vertebral artery		
ICD10	-		C2882343	Cerebral infarction due to embolism of left vertebral artery		
ICD10	-		C2882344	Cerebral infarction due to embolism of unspecified vertebral artery		
ICD10	-		C2882345	Cerebral infarction due to embolism of basilar artery		
ICD10	-		C2882346	Cerebral infarction due to embolism of carotid artery		
ICD10	-		C2882347	Cerebral infarction due to embolism of right carotid artery		
ICD10	-		C2882348	Cerebral infarction due to embolism of left carotid artery		
ICD10	-		C2882349	Cerebral infarction due to embolism of unspecified carotid artery		
ICD10	-		C2882350	Cerebral infarction due to embolism of other precerebral artery		
ICD10	-		C2882351	Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries		
ICD10	-		C2882352	Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries		
ICD10	-		C2882353	Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery		
ICD10	-		C2882354	Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery		
ICD10	-		C2882355	Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery		
ICD10	-		C2882356	Cerebral infarction due to unspecified occlusion or stenosis of basilar artery		
ICD10	-		C2882357	Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries		
ICD10	-		C2882359	Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries		
ICD10	-		C2882360	Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery		
ICD10	-		C2882362	Cerebral infarction due to thrombosis of unspecified cerebral artery		
ICD10	-		C2882364	Cerebral infarction due to thrombosis of right middle cerebral artery		
ICD10	-		C2882365	Cerebral infarction due to thrombosis of left middle cerebral artery		
ICD10	-		C2882366	Cerebral infarction due to thrombosis of unspecified middle cerebral artery		
ICD10	-		C2882367	Cerebral infarction due to thrombosis of anterior cerebral artery		
ICD10	-		C2882368	Cerebral infarction due to thrombosis of right anterior cerebral artery		
ICD10	-		C2882369	Cerebral infarction due to thrombosis of left anterior cerebral artery		
ICD10	-		C2882370	Cerebral infarction due to thrombosis of unspecified anterior cerebral artery		
ICD10	-		C2882371	Cerebral infarction due to thrombosis of posterior cerebral artery		
ICD10	-		C2882372	Cerebral infarction due to thrombosis of right posterior cerebral artery		
ICD10	-		C2882373	Cerebral infarction due to thrombosis of left posterior cerebral artery		
ICD10	-		C2882374	Cerebral infarction due to thrombosis of unspecified posterior cerebral artery		
ICD10	-		C2882375	Cerebral infarction due to thrombosis of cerebellar artery		
ICD10	-		C2882376	Cerebral infarction due to thrombosis of right cerebellar artery		
ICD10	-		C2882377	Cerebral infarction due to thrombosis of left cerebellar artery		
ICD10	-		C2882378	Cerebral infarction due to thrombosis of unspecified cerebellar artery		
ICD10	-		C2882379	Cerebral infarction due to thrombosis of other cerebral artery		
ICD10	-		C2882380	Cerebral infarction due to embolism of unspecified cerebral artery		
ICD10	-		C2882382	Cerebral infarction due to embolism of right middle cerebral artery		
ICD10	-		C2882383	Cerebral infarction due to embolism of left middle cerebral artery		
ICD10	-		C2882384	Cerebral infarction due to embolism of unspecified middle cerebral artery		
ICD10	-		C2882385	Cerebral infarction due to embolism of anterior cerebral artery		
ICD10	-		C2882386	Cerebral infarction due to embolism of right anterior cerebral artery		
ICD10	-		C2882387	Cerebral infarction due to embolism of left anterior cerebral artery		
ICD10	-		C2882388	Cerebral infarction due to embolism of unspecified anterior cerebral artery		
ICD10	-		C2882389	Cerebral infarction due to embolism of posterior cerebral artery		
ICD10	-		C2882390	Cerebral infarction due to embolism of right posterior cerebral artery		
ICD10	-		C2882391	Cerebral infarction due to embolism of left posterior cerebral artery		
ICD10	-		C2882392	Cerebral infarction due to embolism of unspecified posterior cerebral artery		
ICD10	-		C2882393	Cerebral infarction due to embolism of cerebellar artery		
ICD10	-		C2882394	Cerebral infarction due to embolism of right cerebellar artery		
ICD10	-		C2882395	Cerebral infarction due to embolism of left cerebellar artery		
ICD10	-		C2882396	Cerebral infarction due to embolism of unspecified cerebellar artery		
ICD10	-		C2882397	Cerebral infarction due to embolism of other cerebral artery		
ICD10	-		C2882398	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery		
ICD10	-		C2882399	Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery		
ICD10	-		C2882400	Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery		
ICD10	-		C2882401	Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery		
ICD10	-		C2882402	Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery		
ICD10	-		C2882403	Cerebral infarction due to unspecified occlusion or stenosis of anterior cerebral artery		
ICD10	-		C2882404	Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery		
ICD10	-		C2882405	Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery		
ICD10	-		C2882406	Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery		
ICD10	-		C2882407	Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery		
ICD10	-		C2882408	Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery		
ICD10	-		C2882409	Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery		
ICD10	-		C2882410	Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery		
ICD10	-		C2882411	Cerebral infarction due to unspecified occlusion or stenosis of cerebellar artery		
ICD10	-		C2882412	Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery		
ICD10	-		C2882413	Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery		
ICD10	-		C2882414	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery		
ICD10	-		C2882415	Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery		
ICD10	-		C2882566	Unspecified sequelae of cerebral infarction		
ICD10	-		C2882567	Cognitive deficits following cerebral infarction		
ICD10	-		C2882568	Speech and language deficits following cerebral infarction		
ICD10	-		C2882569	Aphasia following cerebral infarction		
ICD10	-		C2882570	Dysphasia following cerebral infarction		
ICD10	-		C2882571	Dysarthria following cerebral infarction		
ICD10	-		C2882572	Fluency disorder following cerebral infarction		
ICD10	-		C2882573	Other speech and language deficits following cerebral infarction		
ICD10	-		C2882574	Monoplegia of upper limb following cerebral infarction		
ICD10	-		C2882575	Monoplegia of upper limb following cerebral infarction affecting right dominant side		
ICD10	-		C2882576	Monoplegia of upper limb following cerebral infarction affecting left dominant side		
ICD10	-		C2882577	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side		
ICD10	-		C2882578	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side		
ICD10	-		C2882579	Monoplegia of upper limb following cerebral infarction affecting unspecified side		
ICD10	-		C2882580	Monoplegia of lower limb following cerebral infarction		
ICD10	-		C2882581	Monoplegia of lower limb following cerebral infarction affecting right dominant side		
ICD10	-		C2882582	Monoplegia of lower limb following cerebral infarction affecting left dominant side		
ICD10	-		C2882583	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side		
ICD10	-		C2882584	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side		
ICD10	-		C2882585	Monoplegia of lower limb following cerebral infarction affecting unspecified side		
ICD10	-		C2882586	Hemiplegia and hemiparesis following cerebral infarction		
ICD10	-		C2882587	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side		
ICD10	-		C2882588	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side		
ICD10	-		C2882589	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side		
ICD10	-		C2882590	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side		
ICD10	-		C2882591	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side		
ICD10	-		C2882592	Other paralytic syndrome following cerebral infarction		
ICD10	-		C2882593	Other paralytic syndrome following cerebral infarction affecting right dominant side		
ICD10	-		C2882594	Other paralytic syndrome following cerebral infarction affecting left dominant side		
ICD10	-		C2882595	Other paralytic syndrome following cerebral infarction affecting right non-dominant side		
ICD10	-		C2882596	Other paralytic syndrome following cerebral infarction affecting left non-dominant side		
ICD10	-		C2882597	Other paralytic syndrome following cerebral infarction, bilateral		
ICD10	-		C2882600	Apraxia following cerebral infarction		
ICD10	-		C2882598	Other paralytic syndrome following cerebral infarction affecting unspecified side		
ICD10	-		C2882601	Dysphagia following cerebral infarction		
ICD10	-		C2882602	Facial droop following cerebral infarction		
ICD10	-		C2882603	Facial weakness following cerebral infarction		
ICD10	-		C2882604	Ataxia following cerebral infarction		
ICD10	-		C2882605	Alteration of sensation following cerebral infarction		
ICD10	-		C2882606	Disturbance of vision following cerebral infarction		
ICD10	-		C3264012	Persistent migraine aura with cerebral infarction, with refractory migraine		
ICD10	-		C3264011	Persistent migraine aura with cerebral infarction, without refractory migraine		
ICD10	-		C3536611	Cerebral infarction due to occlusion of basilar artery		
ICD10	-		C3662027	Cerebral infarction due to stenosis of carotid artery		
ICD10	-		C3662063	Cerebral infarction due to carotid artery occlusion		
ICD10	-		C3662066	Behavior disorder as sequela of cerebral infarction		
ICD10	-		C3662091	Sequela of ischemic cerebral infarction		
ICD10	-		C3698306	Cerebral infarction due to vertebral artery occlusion		
ICD10	-		C4038830	Cerebral infarction due to vertebral artery stenosis		
ICD10	-		C4040904	Cerebral infarction due to occlusion of precerebral artery		
ICD10	-		C0375284	Occlusion and stenosis of unspecified precerebral artery with cerebral infarction		
ICD10	-		C0375282	Occlusion and stenosis of other specified precerebral artery with cerebral infarction		
ICD10	-		C0375280	occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction		
ICD10	-		C0375278	Occlusion and stenosis of vertebral artery with cerebral infarction		
ICD10	-		C0375274	Occlusion and stenosis of basilar artery with cerebral infarction		
ICD10	-		C0375276	Occlusion and stenosis of carotid artery with cerebral infarction		
ICD10	-		C0948008	Ischemic stroke		
ICD10	-		C4302206	Perinatal arterial ischemic stroke		
ICD10	-		C3648410	Ischemic stroke without residual deficits		
ICD10	-		C5392097	Cryptogenic Ischemic Stroke		
ICD10	-		C4510771	Cerebral ischemic stroke due to extracranial large artery atherosclerosis		
ICD10	-		C4510772	Cerebral ischemic stroke due to intracranial large artery atherosclerosis		
ICD10	-		C1298680	Occlusive stroke		
ICD10	-		C5545767	Neonatal ischemic stroke		
ICD10	-		C3662053	Ischemic stroke with coma		
ICD10	-		C3662058	Ischemic stroke without coma		
ICD10	-		C4510726	Cerebral ischemic stroke due to stenosis of extracranial large artery		
ICD10	-		C4510727	Cerebral ischemic stroke due to occlusion of extracranial large artery		
ICD10	-		C4510768	Cerebral ischemic stroke due to small artery occlusion		
ICD10CM	G46.5	Pure motor lacunar syndrome	C0393957	Pure motor lacunar infarction		SEARCH (lacunar syndrome)
ICD10CM	G46.6	Pure sensory lacunar syndrome	C0393958	Pure sensory lacunar infarction		SEARCH (lacunar syndrome)
ICD10CM	G46.7	Other lacunar syndromes	C0477376	Other lacunar syndromes		SEARCH (lacunar syndrome)
ICD10CM	-		C0585229	Multiple lacunar infarcts		
ICD10CM	I63	Cerebral infarction	C0007785	Cerebral Infarction		SEARCH (cerebral infarction)
ICD10CM	I63.0	Cerebral infarction due to thrombosis of precerebral arteries				DESC (I63)
ICD10CM	I63.00	Cerebral infarction due to thrombosis of unspecified precerebral artery				DESC (I63)
ICD10CM	I63.01	Cerebral infarction due to thrombosis of vertebral artery				DESC (I63)
ICD10CM	I63.011	Cerebral infarction due to thrombosis of right vertebral artery				DESC (I63)
ICD10CM	I63.012	Cerebral infarction due to thrombosis of left vertebral artery				DESC (I63)
ICD10CM	I63.013	Cerebral infarction due to thrombosis of bilateral vertebral arteries				DESC (I63)
ICD10CM	I63.019	Cerebral infarction due to thrombosis of unspecified vertebral artery				DESC (I63)
ICD10CM	I63.02	Cerebral infarction due to thrombosis of basilar artery				DESC (I63)
ICD10CM	I63.03	Cerebral infarction due to thrombosis of carotid artery				DESC (I63)
ICD10CM	I63.031	Cerebral infarction due to thrombosis of right carotid artery				DESC (I63)
ICD10CM	I63.032	Cerebral infarction due to thrombosis of left carotid artery				DESC (I63)
ICD10CM	I63.033	Cerebral infarction due to thrombosis of bilateral carotid arteries				DESC (I63)
ICD10CM	I63.039	Cerebral infarction due to thrombosis of unspecified carotid artery				DESC (I63)
ICD10CM	I63.09	Cerebral infarction due to thrombosis of other precerebral artery				DESC (I63)
ICD10CM	I63.1	Cerebral infarction due to embolism of precerebral arteries				DESC (I63)
ICD10CM	I63.10	Cerebral infarction due to embolism of unspecified precerebral artery				DESC (I63)
ICD10CM	I63.11	Cerebral infarction due to embolism of vertebral artery				DESC (I63)
ICD10CM	I63.111	Cerebral infarction due to embolism of right vertebral artery				DESC (I63)
ICD10CM	I63.112	Cerebral infarction due to embolism of left vertebral artery				DESC (I63)
ICD10CM	I63.113	Cerebral infarction due to embolism of bilateral vertebral arteries				DESC (I63)
ICD10CM	I63.119	Cerebral infarction due to embolism of unspecified vertebral artery				DESC (I63)
ICD10CM	I63.12	Cerebral infarction due to embolism of basilar artery				DESC (I63)
ICD10CM	I63.13	Cerebral infarction due to embolism of carotid artery				DESC (I63)
ICD10CM	I63.131	Cerebral infarction due to embolism of right carotid artery				DESC (I63)
ICD10CM	I63.132	Cerebral infarction due to embolism of left carotid artery				DESC (I63)
ICD10CM	I63.133	Cerebral infarction due to embolism of bilateral carotid arteries				DESC (I63)
ICD10CM	I63.139	Cerebral infarction due to embolism of unspecified carotid artery				DESC (I63)
ICD10CM	I63.19	Cerebral infarction due to embolism of other precerebral artery				DESC (I63)
ICD10CM	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries				DESC (I63)
ICD10CM	I63.20	Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries				DESC (I63)
ICD10CM	I63.21	Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries				DESC (I63)
ICD10CM	I63.211	Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery				DESC (I63)
ICD10CM	I63.212	Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery				DESC (I63)
ICD10CM	I63.213	Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries				DESC (I63)
ICD10CM	I63.219	Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery				DESC (I63)
ICD10CM	I63.22	Cerebral infarction due to unspecified occlusion or stenosis of basilar artery				DESC (I63)
ICD10CM	I63.23	Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries				DESC (I63)
ICD10CM	I63.231	Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries				DESC (I63)
ICD10CM	I63.232	Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries				DESC (I63)
ICD10CM	I63.233	Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries				DESC (I63)
