Coding system	Code	Code name	Concept	Concept name	Tags	Origin
ICD10	I60.3	Subarachnoid haemorrhage from posterior communicating artery	C0349442	Subarachnoid hemorrhage from posterior communicating artery aneurysm		SEARCH (subarachnoid aneurysm)
ICD10	I60.2	Subarachnoid haemorrhage from anterior communicating artery	C0349441	Subarachnoid hemorrhage from anterior communicating artery aneurysm		SEARCH (subarachnoid aneurysm)
ICD10	I60.1	Subarachnoid haemorrhage from middle cerebral artery	C0349439	Subarachnoid hemorrhage from middle cerebral artery aneurysm		SEARCH (subarachnoid aneurysm)
ICD10	I60.4	Subarachnoid haemorrhage from basilar artery	C0349443	Subarachnoid hemorrhage from basilar artery aneurysm		SEARCH (subarachnoid aneurysm)
ICD10	-		C0338572	Subarachnoid hemorrhage due to ruptured aneurysm		
ICD10	S06.6	Traumatic subarachnoid haemorrhage	C0475073	Subarachnoid Hemorrhage, Traumatic		SEARCH (subarachnoid hemorrhage)
ICD10	I60	Subarachnoid haemorrhage	C0038525	Subarachnoid Hemorrhage		SEARCH (subarachnoid hemorrhage)
ICD10	I60.0	Subarachnoid haemorrhage from carotid siphon and bifurcation				DESC (I60)
ICD10	I60.5	Subarachnoid haemorrhage from vertebral artery				DESC (I60)
ICD10	I60.6	Subarachnoid haemorrhage from other intracranial arteries				DESC (I60)
ICD10	I60.7	Subarachnoid haemorrhage from intracranial artery, unspecified				DESC (I60)
ICD10	I60.8	Other subarachnoid haemorrhage				DESC (I60)
ICD10	I60.9	Subarachnoid haemorrhage, unspecified				DESC (I60)
ICD10	-		C0160229	Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness		
ICD10	-		C0160230	Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness		
ICD10	-		C0160233	open intracranial wound and subarachnoid hemorrhage with prolonged (> 24 hrs) loss of consciousness with return to prior level of consciousness		
ICD10	-		C0160235	Subarachnoid hemorrhage following injury with open intracranial wound AND loss of consciousness		
ICD10	-		C0273088	Subarachnoid hemorrhage following injury with open intracranial wound AND concussion		
ICD10	P10.3	Subarachnoid haemorrhage due to birth injury	C0475592	Subarachnoid hemorrhage due to birth injury		SEARCH (subarachnoid hemorrhage)
ICD10	-		C0160220	Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness		
ICD10	-		C0160221	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness		
ICD10	-		C0160226	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration		
ICD10	-		C0160227	Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified		
ICD10	-		C0348632	Subarachnoid hemorrhage from other intracranial arteries		
ICD10	-		C0348633	Other subarachnoid hemorrhage		
ICD10	-		C0348645	Subarachnoid hemorrhage from intracranial artery, unspecified		
ICD10	-		C0348784	Subarachnoid hemorrhage from vertebral artery		
ICD10	-		C0475529	Subarachnoid hemorrhage from carotid siphon and bifurcation		
