coding_system,code,variable_name,event_definition,concept,concept_name,tags,system,event_abbreviation,type
ICD9CMP,003.0,I_BACTERIALINFEC_AESI,Bacterial infections,C0036114,Salmonella food poisoning,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,003.1,I_SEPSIS_COV,Sepsis,C0152486,Salmonella sepsis,narrow,I,SEPSIS,COV
ICD9CMP,003.21,I_NEOMENINGITIS_AESI,Neonatal Meningitis,C0152488,Salmonella meningitis,narrow,I,NEOMENINGITIS,AESI
ICD9CMP,003.24,M_OSTEOMYELITIS_AESI,Osteomyelitis,C0152491,Salmonella osteomyelitis,narrow,M,OSTEOMYELITIS,AESI
ICD9CMP,005.0,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.1,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.2,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.3,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.4,I_BACTERIALINFEC_AESI,Bacterial infections,C0152497,Food poisoning caused by Vibrio parahaemolyticus,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.4,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.8,I_BACTERIALINFEC_AESI,Bacterial infections,C0152498,Other bacterial food poisoning,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.81,I_BACTERIALINFEC_AESI,Bacterial infections,C0374921,Food poisoning caused by Vibrio vulnificus,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.81,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.89,I_BACTERIALINFEC_AESI,Bacterial infections,C0152498,Other bacterial food poisoning,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,005.9,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,006.3,I_HEPATITIS_COV,Hepatitis Infectious,C0023886,"Liver Abscess, Amebic",narrow,I,HEPATITIS,COV
ICD9CMP,008.0,I_BACTERIALINFEC_AESI,Bacterial infections,C0341558,Intestinal infection caused by Escherichia coli,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.00,I_BACTERIALINFEC_AESI,Bacterial infections,C0341558,Intestinal infection caused by Escherichia coli,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.01,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.01,I_BACTERIALINFEC_AESI,Bacterial infections,C0343380,Enteropathogenic Escherichia coli gastrointestinal tract infection,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.02,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.02,I_BACTERIALINFEC_AESI,Bacterial infections,C0343379,Enterotoxigenic Escherichia coli gastrointestinal tract infection,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.03,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.03,I_BACTERIALINFEC_AESI,Bacterial infections,C0343382,Enteroinvasive Escherichia coli gastrointestinal tract infection,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.04,I_BACTERIALINFEC_AESI,Bacterial infections,-,-,narrow,I,BACTERIALINFEC,AESI
ICD9CMP,008.04,I_BACTERIALINFEC_AESI,Bacterial infections,C0343381,Verotoxigenic Escherichia coli gastrointestinal tract infection,narrow,I,BACTERIALINFEC,AESI
